Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,4.58,4.36,4.36,4.36,4.36

06-08-2016,4.36,4.50,4.50,4.50,4.50
06-09-2016,4.50,4.72,4.72,4.28,4.28
06-10-2016,4.28,4.07,4.49,4.07,4.49
06-13-2016,4.28,4.07,4.49,4.07,4.49
06-14-2016,4.49,4.71,4.71,4.28,4.28
06-15-2016,4.28,4.07,4.49,4.07,4.10
06-16-2016,4.28,4.07,4.49,4.07,4.10
06-17-2016,4.28,4.07,4.49,4.07,4.10
06-19-2016,4.28,4.07,4.49,4.07,4.10
06-21-2016,4.10,4.30,4.30,4.30,4.30
06-22-2016,4.30,4.51,4.51,4.09,4.09
06-23-2016,4.30,4.51,4.51,4.09,4.09
06-24-2016,4.09,4.00,4.00,4.00,4.00
06-27-2016,4.00,4.20,4.20,4.20,4.20
06-28-2016,4.20,4.40,4.41,4.00,4.04
06-29-2016,4.20,4.40,4.41,4.00,4.04
06-30-2016,4.04,4.24,4.24,4.24,4.24
07-01-2016,4.24,4.45,4.45,4.04,4.04
07-05-2016,4.04,3.88,3.88,3.88,3.88
07-05-2016,3.88,4.04,4.04,4.04,4.04
07-07-2016,4.04,3.84,3.84,3.84,3.84
07-08-2016,3.84,3.65,3.65,3.65,3.65
07-11-2016,3.65,3.66,3.83,3.66,3.83
07-12-2016,3.65,3.66,3.83,3.66,3.83
