Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,19067.15,19105.10,19105.10,18585.00,18611.35
05-19-2016,18611.35,18550.00,18807.20,18349.20,18720.15
05-19-2016,18720.15,18607.60,18697.90,18101.50,18223.20
05-20-2016,18223.20,18230.00,18350.00,18121.40,18286.95
05-23-2016,18286.95,18389.40,18435.25,18200.00,18257.10
05-24-2016,18257.10,18270.00,18284.90,18025.10,18175.65
05-25-2016,18175.65,18280.05,18549.00,18275.00,18525.40
05-26-2016,18525.40,18520.00,18662.65,18325.55,18421.10
05-27-2016,18421.10,18421.10,18794.95,18421.10,18751.30
05-30-2016,18751.30,18800.00,18800.00,18600.00,18720.95
05-31-2016,18720.95,18852.00,18950.00,18410.00,18524.20
06-01-2016,18524.20,18437.55,18814.90,18437.50,18692.15
06-02-2016,18692.15,18734.30,18900.00,18687.20,18767.30
06-04-2016,18767.30,18767.30,18898.00,18623.25,18781.50
06-06-2016,18781.50,18795.00,19065.00,18760.00,18955.35
06-07-2016,18955.35,19100.00,19190.60,18725.10,18805.70
06-08-2016,18805.70,18858.40,18907.00,18690.05,18799.65
06-09-2016,18799.65,18859.95,18886.95,18565.00,18608.65
06-10-2016,18608.65,18550.00,18725.55,18443.40,18620.65
06-13-2016,18620.65,18575.00,18575.00,18279.90,18416.85
06-14-2016,18416.85,18450.00,18844.60,18350.00,18761.30
06-15-2016,18761.30,18750.00,18750.00,18561.70,18634.65
06-16-2016,18634.65,18600.00,18885.00,18525.00,18783.40
06-17-2016,18783.40,18850.00,18879.65,18685.00,18744.85
06-19-2016,18744.85,18799.70,18800.00,18612.15,18654.95
06-21-2016,18654.95,18663.55,18850.00,18634.00,18730.50
06-22-2016,18730.50,18675.05,18809.60,18667.35,18771.50
06-23-2016,18771.50,18757.50,18790.00,18610.00,18660.25
06-24-2016,18660.25,18500.00,18696.15,18006.00,18623.80
06-27-2016,18623.80,18664.00,18733.45,18451.05,18701.40
06-28-2016,18701.40,18757.10,19248.00,18757.05,19188.50
06-29-2016,19188.50,19277.75,19330.00,19044.75,19110.45
06-30-2016,19110.45,19228.35,19311.00,19100.00,19223.70
07-01-2016,19223.70,19299.00,19462.15,19020.05,19156.55
07-05-2016,19156.55,19362.75,19627.95,19251.05,19463.60
07-05-2016,19463.60,19744.85,19744.85,19337.25,19419.30
07-07-2016,19419.30,19600.00,19629.20,19309.20,19576.95
07-08-2016,19576.95,19520.00,19580.00,19397.00,19451.80
07-11-2016,19451.80,19637.45,19649.85,19481.75,19550.00
07-12-2016,19550.00,19550.25,19751.25,19536.40,19668.60
07-13-2016,19668.60,19688.80,19688.80,19414.05,19526.30
