Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,300.30,303.80,316.00,303.80,308.60
05-19-2016,308.60,312.00,312.00,302.30,304.10
05-20-2016,304.10,309.90,327.00,309.90,312.70
05-20-2016,312.70,328.00,328.00,306.50,311.20
05-23-2016,311.20,315.00,315.00,295.95,300.00
05-24-2016,300.00,300.00,300.00,300.00,300.00
05-25-2016,300.00,310.00,330.00,310.00,315.35
05-26-2016,315.35,319.00,328.60,314.00,322.15
05-27-2016,322.15,310.00,320.00,310.00,320.00
05-30-2016,320.00,315.00,327.85,315.00,321.65
05-31-2016,321.65,316.50,328.50,315.55,322.00
06-01-2016,322.00,320.00,322.00,320.00,322.00
06-02-2016,322.00,310.00,316.95,305.50,310.55
06-04-2016,310.55,306.00,306.20,306.00,306.20
06-06-2016,306.20,305.00,305.70,301.00,305.60
06-07-2016,305.60,310.05,317.90,310.05,317.90
06-08-2016,317.90,322.95,322.95,310.00,321.30
06-09-2016,321.30,320.00,322.00,310.15,322.00
06-10-2016,322.00,320.00,322.00,314.00,314.00
06-13-2016,314.00,315.00,315.00,305.10,305.20
06-14-2016,305.20,312.05,319.00,305.00,313.35
06-15-2016,313.35,315.00,319.30,313.10,315.00
06-16-2016,315.00,317.90,333.00,317.90,330.55
06-17-2016,330.55,333.00,339.00,326.00,327.50
06-19-2016,327.50,326.60,338.60,323.50,326.50
06-21-2016,326.50,328.75,330.00,321.55,321.55
06-22-2016,321.55,320.00,326.40,320.00,321.55
06-23-2016,321.55,321.55,326.90,321.55,325.00
06-24-2016,325.00,313.00,328.00,313.00,328.00
06-27-2016,328.00,334.50,353.50,334.50,350.35
06-28-2016,350.35,345.00,353.35,345.00,353.35
06-29-2016,353.35,353.95,353.95,336.80,348.30
06-30-2016,348.30,350.00,364.45,340.50,352.70
07-01-2016,352.70,354.00,358.45,350.00,358.45
07-05-2016,358.45,360.00,367.95,355.05,355.05
07-05-2016,355.05,355.00,364.85,355.00,355.00
07-07-2016,355.00,360.00,363.25,360.00,363.25
07-08-2016,363.25,350.00,363.75,348.50,353.35
07-11-2016,353.35,350.05,358.35,350.05,350.90
07-12-2016,356.65,355.00,370.00,350.00,351.25
