Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,64.20,68.75,68.75,63.30,64.15
05-19-2016,64.15,74.75,74.75,63.00,67.00
05-20-2016,67.00,67.00,67.00,61.40,62.60
05-21-2016,62.60,63.10,63.60,61.65,62.15
05-23-2016,62.15,71.00,71.00,52.50,59.00
05-24-2016,59.00,52.50,60.10,52.50,57.75
05-25-2016,57.75,57.15,60.00,57.15,58.90
05-26-2016,58.90,59.50,59.95,58.30,58.60
05-27-2016,58.60,59.00,61.00,58.00,59.50
05-30-2016,59.50,59.90,59.90,57.85,59.30
05-31-2016,59.30,54.25,58.70,54.00,54.75
06-01-2016,54.75,56.90,58.65,55.90,58.25
06-02-2016,58.25,56.60,58.45,55.00,55.30
06-04-2016,55.30,55.25,56.00,52.50,54.65
06-06-2016,54.65,54.70,54.95,54.00,54.95
06-07-2016,54.30,54.10,54.75,52.25,53.60
06-08-2016,53.60,52.15,53.20,51.75,52.60
06-09-2016,52.60,52.25,63.10,52.25,63.10
06-10-2016,63.10,68.80,75.70,68.80,75.70
06-13-2016,75.70,77.85,89.60,77.85,83.15
06-14-2016,83.15,83.90,87.00,76.40,84.00
06-15-2016,84.00,82.75,92.40,82.50,92.40
06-16-2016,92.40,92.95,94.00,83.20,83.45
06-17-2016,83.45,81.70,86.90,77.15,78.40
06-19-2016,78.40,79.30,81.50,77.10,78.55
06-21-2016,78.55,79.05,79.50,78.00,78.60
06-22-2016,78.60,80.00,80.00,73.00,73.35
06-23-2016,73.35,74.30,77.00,73.00,76.75
06-24-2016,76.75,75.40,75.40,72.95,72.95
06-27-2016,72.95,74.30,74.30,71.00,71.70
06-28-2016,71.70,72.90,74.90,72.50,72.90
06-29-2016,72.90,73.85,76.50,72.25,76.50
06-30-2016,76.50,77.30,79.50,75.00,77.75
07-01-2016,77.75,79.30,81.60,77.10,77.50
07-05-2016,77.50,78.55,78.55,73.65,73.65
07-05-2016,73.65,72.70,77.30,71.55,77.30
07-08-2016,77.30,80.00,81.15,79.00,81.15
07-08-2016,81.15,82.60,83.00,77.10,77.10
07-11-2016,77.10,76.10,78.00,75.70,76.15
07-12-2016,76.15,75.05,76.00,74.00,74.00
