Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.84,14.28,14.28,14.28,14.28
05-19-2016,14.28,13.75,13.75,13.75,13.75
05-19-2016,14.28,13.75,13.75,13.75,13.75
05-20-2016,14.28,13.75,13.75,13.75,13.75
05-23-2016,14.28,13.75,13.75,13.75,13.75
05-24-2016,13.75,14.25,14.25,14.25,14.25
05-25-2016,13.75,14.25,14.25,14.25,14.25
05-26-2016,13.75,14.25,14.25,14.25,14.25
05-27-2016,13.75,14.25,14.25,14.25,14.25
05-30-2016,13.75,14.25,14.25,14.25,14.25
05-31-2016,14.25,14.24,14.24,14.24,14.24
06-01-2016,14.25,14.24,14.24,14.24,14.24
06-02-2016,14.25,14.24,14.24,14.24,14.24
06-04-2016,14.24,14.25,14.25,13.53,13.53
06-06-2016,13.53,14.20,14.20,12.86,12.86
06-07-2016,12.86,12.50,12.50,12.50,12.50
06-08-2016,12.86,12.50,12.50,12.50,12.50
06-09-2016,12.86,12.50,12.50,12.50,12.50
06-10-2016,12.50,12.50,12.50,12.50,12.50
06-13-2016,12.50,12.50,12.50,12.50,12.50
06-14-2016,12.50,11.88,11.88,11.88,11.88
06-15-2016,11.88,11.29,11.29,11.29,11.29
06-16-2016,11.29,11.00,11.00,11.00,11.00
06-17-2016,11.29,11.00,11.00,11.00,11.00
06-19-2016,11.00,11.00,11.00,11.00,11.00
06-21-2016,11.00,11.55,11.55,11.55,11.55
06-22-2016,11.55,11.00,11.00,11.00,11.00
06-23-2016,11.00,10.45,10.45,10.45,10.45
06-24-2016,10.45,10.97,10.97,10.97,10.97
06-27-2016,10.45,10.97,10.97,10.97,10.97
06-28-2016,10.45,10.97,10.97,10.97,10.97
06-29-2016,10.97,11.51,11.51,11.51,11.51
06-30-2016,10.97,11.51,11.51,11.51,11.51
07-01-2016,11.51,12.08,12.08,12.08,12.08
07-05-2016,12.08,12.68,12.68,12.68,12.68
07-05-2016,12.68,13.31,13.31,13.31,13.31
07-07-2016,13.31,13.97,13.97,13.97,13.97
07-08-2016,13.97,14.49,14.49,14.49,14.49
07-11-2016,14.49,15.21,15.21,15.21,15.21
07-12-2016,14.49,15.21,15.21,15.21,15.21
