Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.38,4.40,4.40,4.40,4.40
05-19-2016,4.38,4.40,4.40,4.40,4.40
05-19-2016,4.40,4.18,4.18,4.18,4.18
05-20-2016,4.40,4.18,4.18,4.18,4.18
05-23-2016,4.18,4.00,4.00,4.00,4.00
05-24-2016,4.00,4.20,4.20,4.20,4.20
05-25-2016,4.20,4.10,4.10,4.10,4.10
05-26-2016,4.10,4.30,4.30,4.30,4.30
05-27-2016,4.30,4.51,4.51,4.35,4.35
05-30-2016,4.35,4.30,4.30,4.30,4.30
05-31-2016,4.30,4.09,4.09,4.09,4.09
06-01-2016,4.30,4.09,4.09,4.09,4.09
06-02-2016,4.09,4.09,4.09,4.09,4.09
06-04-2016,4.09,4.49,4.49,4.35,4.49
06-06-2016,4.49,4.10,4.10,4.10,4.10
06-07-2016,4.10,4.10,4.51,4.10,4.48
06-08-2016,4.48,4.90,4.92,4.90,4.92
06-09-2016,4.92,4.51,4.51,4.43,4.43
06-10-2016,4.92,4.51,4.51,4.43,4.43
06-13-2016,4.43,4.40,4.40,4.30,4.30
06-14-2016,4.30,4.70,4.70,4.58,4.58
06-15-2016,4.30,4.70,4.70,4.58,4.58
06-16-2016,4.30,4.70,4.70,4.58,4.58
06-17-2016,4.58,4.60,4.60,4.60,4.60
06-19-2016,4.58,4.60,4.60,4.60,4.60
06-21-2016,4.60,5.00,5.00,5.00,5.00
06-22-2016,5.00,5.48,5.48,4.51,4.51
06-23-2016,4.51,4.70,4.70,4.10,4.10
06-24-2016,4.10,3.75,3.75,3.70,3.70
06-27-2016,3.70,3.55,3.55,3.33,3.33
06-28-2016,3.33,3.25,3.49,3.17,3.49
06-29-2016,3.49,3.35,3.35,3.32,3.32
06-30-2016,3.32,3.16,3.48,3.16,3.48
07-01-2016,3.48,3.40,3.40,3.40,3.40
07-05-2016,3.40,3.40,3.40,3.40,3.40
07-05-2016,3.40,3.40,3.40,3.40,3.40
07-07-2016,3.40,3.40,3.40,3.40,3.40
07-08-2016,3.40,3.55,3.57,3.55,3.55
07-11-2016,3.55,3.70,3.70,3.70,3.70
07-12-2016,3.70,3.88,3.88,3.79,3.87
