Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,166.65,167.45,168.50,166.50,167.10
05-19-2016,167.10,166.10,171.60,166.00,170.25
05-20-2016,170.25,170.20,172.45,167.05,168.35
05-20-2016,168.35,168.45,170.35,166.20,167.10
05-23-2016,167.10,167.00,169.95,165.70,167.20
05-24-2016,167.20,168.90,168.95,166.50,167.40
05-25-2016,167.40,168.00,170.20,167.95,168.65
05-26-2016,168.65,169.80,192.00,166.60,173.70
05-27-2016,173.70,170.95,170.95,163.10,164.05
05-30-2016,164.05,164.80,168.00,159.40,159.80
05-31-2016,159.80,160.15,163.00,156.00,161.85
06-01-2016,161.85,162.00,164.55,161.30,162.70
06-02-2016,162.70,162.95,164.80,162.40,164.35
06-04-2016,164.35,164.00,164.40,159.10,159.85
06-06-2016,159.85,160.60,165.45,160.60,163.15
06-07-2016,163.15,162.00,167.15,162.00,165.15
06-08-2016,165.15,166.00,168.40,162.40,163.00
06-09-2016,163.00,163.00,165.90,163.00,164.40
06-10-2016,164.40,164.50,168.90,164.45,168.20
06-13-2016,168.20,163.80,166.20,160.10,164.80
06-14-2016,164.80,165.90,166.00,161.95,163.25
06-15-2016,163.25,163.50,165.00,162.45,163.65
06-16-2016,163.65,163.65,165.10,161.05,161.55
06-17-2016,161.55,161.50,163.15,160.50,161.70
06-19-2016,161.70,161.70,167.00,160.55,164.70
06-21-2016,164.70,165.30,165.50,162.35,162.95
06-22-2016,162.95,163.15,163.80,160.40,160.80
06-23-2016,160.80,161.15,161.70,159.00,159.70
06-24-2016,159.70,158.50,158.50,152.20,155.70
06-27-2016,155.70,155.40,157.20,154.95,156.15
06-28-2016,156.15,156.00,162.90,156.00,159.10
06-29-2016,159.10,159.00,161.00,157.60,158.45
06-30-2016,158.45,159.00,159.85,157.00,158.10
07-01-2016,158.10,159.00,161.90,159.00,159.35
07-05-2016,159.35,160.00,163.00,159.65,161.25
07-05-2016,161.25,161.00,163.95,159.00,159.85
07-07-2016,159.85,159.85,161.55,159.10,159.25
07-08-2016,159.25,160.00,160.05,158.10,158.45
07-11-2016,158.45,159.00,161.00,159.00,159.50
07-12-2016,159.50,159.00,160.05,155.75,156.05
