Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,20.90,21.40,21.40,20.00,20.00

06-08-2016,20.00,20.05,20.05,20.05,20.05
06-09-2016,20.05,21.00,21.00,19.95,19.95
06-10-2016,19.95,20.30,20.30,20.30,20.30
06-13-2016,20.30,20.10,20.20,20.10,20.20
06-14-2016,20.20,20.00,20.00,19.50,19.50
06-15-2016,19.50,19.95,19.95,18.70,18.70
06-16-2016,18.70,18.85,18.90,18.40,18.90
06-17-2016,18.90,18.00,18.00,18.00,18.00
06-19-2016,18.00,18.75,18.75,17.10,17.10
06-21-2016,17.10,17.70,17.75,17.70,17.75
06-22-2016,17.75,18.00,18.05,18.00,18.05
06-23-2016,18.05,18.85,18.85,17.20,18.85
06-24-2016,18.85,19.65,19.70,19.65,19.70
06-27-2016,19.70,19.70,19.70,18.75,18.75
06-28-2016,18.75,19.60,19.65,19.60,19.65
06-29-2016,19.65,19.40,19.55,19.40,19.50
06-30-2016,19.50,19.55,19.55,19.45,19.45
07-01-2016,19.45,20.40,20.40,19.75,19.75
07-05-2016,19.75,19.50,19.70,19.45,19.60
07-05-2016,19.75,19.50,19.70,19.45,19.60
07-07-2016,19.60,19.40,19.45,19.40,19.45
07-08-2016,19.45,20.35,20.35,20.30,20.30
07-11-2016,20.30,19.30,20.30,19.30,20.30
07-12-2016,20.30,20.75,21.30,20.75,20.75
