Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,55.25,55.20,55.90,55.20,55.90
05-19-2016,55.90,55.40,56.85,55.40,56.00
05-20-2016,56.00,56.00,56.75,56.00,56.10
05-21-2016,56.10,56.50,56.55,56.40,56.55
05-23-2016,56.55,57.50,57.50,55.80,55.80
05-24-2016,55.80,56.80,57.20,56.80,57.20
05-25-2016,57.20,56.80,57.00,56.00,56.00
05-26-2016,56.00,54.00,56.00,54.00,55.90
05-27-2016,55.90,57.00,57.00,57.00,57.00
05-30-2016,57.00,57.00,57.00,56.40,56.40
05-31-2016,56.40,56.50,57.00,56.10,56.10
06-01-2016,56.10,56.10,56.50,56.10,56.20
06-02-2016,56.20,57.10,57.10,57.00,57.00
06-04-2016,57.00,56.70,56.70,56.70,56.70
06-06-2016,56.70,57.25,58.75,57.25,58.75
06-07-2016,58.75,60.50,61.25,60.50,60.75
06-08-2016,60.75,62.80,63.00,62.60,63.00
06-09-2016,63.00,63.00,65.00,63.00,65.00
06-10-2016,65.00,67.05,67.05,67.05,67.05
06-13-2016,67.05,70.00,70.00,70.00,70.00
06-14-2016,67.05,70.00,70.00,70.00,70.00
06-15-2016,70.00,70.00,70.00,70.00,70.00
06-16-2016,70.00,70.00,70.00,70.00,70.00
06-17-2016,70.00,70.00,70.00,68.00,68.00
06-19-2016,68.00,70.00,70.00,70.00,70.00
06-21-2016,70.00,71.00,73.50,71.00,71.00
06-22-2016,71.00,74.05,74.05,67.50,71.00
06-23-2016,71.00,70.00,71.00,70.00,71.00
06-24-2016,71.00,70.00,70.00,69.00,69.00
06-27-2016,69.00,68.00,69.00,68.00,69.00
06-28-2016,69.00,69.00,70.00,69.00,70.00
06-29-2016,70.00,70.00,70.00,70.00,70.00
06-30-2016,70.00,69.00,71.00,69.00,71.00
07-01-2016,71.00,70.00,70.00,69.50,69.50
07-05-2016,69.50,71.00,72.00,71.00,72.00
07-05-2016,72.00,71.50,71.50,71.00,71.00
07-08-2016,71.00,71.00,71.50,71.00,71.50
07-08-2016,71.50,71.00,71.00,71.00,71.00
07-11-2016,71.00,73.50,73.50,73.50,73.50
07-12-2016,73.50,74.25,74.25,73.00,73.00
