Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,12.45,13.07,13.07,13.07,13.07

06-08-2016,12.45,13.07,13.07,13.07,13.07
06-09-2016,12.45,13.07,13.07,13.07,13.07
06-10-2016,12.45,13.07,13.07,13.07,13.07
06-13-2016,13.07,12.42,12.42,12.42,12.42
06-14-2016,13.07,12.42,12.42,12.42,12.42
06-15-2016,13.07,12.42,12.42,12.42,12.42
06-16-2016,13.07,12.42,12.42,12.42,12.42
06-17-2016,13.07,12.42,12.42,12.42,12.42
06-19-2016,13.07,12.42,12.42,12.42,12.42
06-21-2016,13.07,12.42,12.42,12.42,12.42
06-22-2016,13.07,12.42,12.42,12.42,12.42
06-23-2016,13.07,12.42,12.42,12.42,12.42
06-24-2016,13.07,12.42,12.42,12.42,12.42
06-27-2016,13.07,12.42,12.42,12.42,12.42
06-28-2016,13.07,12.42,12.42,12.42,12.42
06-29-2016,13.07,12.42,12.42,12.42,12.42
06-30-2016,13.07,12.42,12.42,12.42,12.42
07-01-2016,13.07,12.42,12.42,12.42,12.42
07-05-2016,13.07,12.42,12.42,12.42,12.42
07-05-2016,13.07,12.42,12.42,12.42,12.42
07-08-2016,12.42,11.80,11.80,11.80,11.80
07-08-2016,11.80,11.21,11.21,11.21,11.21
07-11-2016,11.80,11.21,11.21,11.21,11.21
07-12-2016,11.21,10.65,10.65,10.65,10.65
