Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,54.00,55.65,57.80,54.05,56.85
05-19-2016,56.85,58.20,68.20,58.20,68.20
05-20-2016,68.20,70.20,74.00,66.55,69.60
05-20-2016,69.60,68.00,69.00,64.00,64.05
05-23-2016,64.05,66.55,66.55,64.00,64.90
05-24-2016,64.90,64.00,64.90,62.45,63.50
05-25-2016,63.50,64.00,64.90,64.00,64.05
05-26-2016,64.05,60.15,64.80,60.15,64.00
05-27-2016,64.00,63.00,66.60,63.00,66.60
05-30-2016,66.60,74.50,74.50,66.00,69.00
05-31-2016,69.00,63.50,66.90,60.00,60.05
06-01-2016,60.05,60.05,60.50,57.70,58.25
06-02-2016,58.25,56.05,59.75,56.00,56.60
06-04-2016,56.60,56.00,57.00,56.00,56.95
06-06-2016,56.95,56.00,56.00,55.00,55.00
06-07-2016,55.15,56.00,56.50,54.30,54.40
06-08-2016,54.40,55.00,58.00,55.00,56.65
06-09-2016,56.65,58.90,58.90,54.05,56.10
06-10-2016,56.10,57.50,58.00,56.00,56.00
06-13-2016,56.00,56.90,57.00,56.90,57.00
06-14-2016,57.00,58.90,58.90,56.25,56.25
06-15-2016,56.25,58.00,58.75,56.00,57.45
06-16-2016,57.45,58.00,64.50,58.00,63.35
06-17-2016,63.35,65.00,68.50,62.00,66.15
06-19-2016,66.15,65.90,70.00,65.90,69.85
06-21-2016,69.85,69.00,69.00,65.00,66.10
06-22-2016,66.10,67.70,67.70,64.10,64.50
06-23-2016,64.50,64.10,65.05,64.10,65.05
06-24-2016,65.05,61.10,69.00,59.30,68.45
06-27-2016,68.45,66.75,69.05,66.60,66.60
06-28-2016,66.60,66.10,68.00,66.00,66.50
06-29-2016,66.50,69.00,69.00,66.70,66.70
06-30-2016,66.70,69.65,69.65,66.50,67.50
07-01-2016,67.50,71.55,71.55,68.50,69.00
07-05-2016,69.00,75.00,75.00,67.35,68.00
07-05-2016,68.00,68.10,71.10,68.00,68.80
07-08-2016,68.80,72.00,72.00,69.60,70.75
07-08-2016,70.75,70.00,70.00,67.05,67.85
07-11-2016,67.85,67.00,69.00,67.00,69.00
07-12-2016,69.00,67.65,69.00,67.00,68.65
