Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.30,2.19,2.22,2.19,2.19
05-19-2016,2.19,2.20,2.20,2.20,2.20
05-19-2016,2.20,2.19,2.19,2.09,2.09
05-20-2016,2.09,1.99,2.03,1.99,2.03
05-23-2016,2.03,2.13,2.13,1.95,1.95
05-24-2016,1.95,2.04,2.04,2.00,2.00
05-25-2016,2.00,2.01,2.10,2.01,2.10
05-26-2016,2.10,2.20,2.20,2.00,2.02
05-27-2016,2.02,1.92,2.10,1.92,2.10
05-30-2016,2.10,2.20,2.20,2.20,2.20
05-31-2016,2.20,2.30,2.30,2.30,2.30
06-01-2016,2.30,2.30,2.30,2.30,2.30
06-02-2016,2.30,2.35,2.35,2.35,2.35
06-04-2016,2.30,2.35,2.35,2.35,2.35
06-06-2016,2.35,2.46,2.46,2.46,2.46
06-07-2016,2.46,2.56,2.56,2.56,2.56
06-08-2016,2.56,2.66,2.66,2.66,2.66
06-09-2016,2.66,2.53,2.53,2.53,2.53
06-10-2016,2.53,2.41,2.41,2.41,2.41
06-13-2016,2.41,2.29,2.29,2.29,2.29
06-14-2016,2.29,2.22,2.22,2.22,2.22
06-15-2016,2.22,2.33,2.33,2.33,2.33
06-16-2016,2.22,2.33,2.33,2.33,2.33
06-17-2016,2.33,2.39,2.39,2.39,2.39
06-19-2016,2.39,2.50,2.50,2.50,2.50
06-21-2016,2.50,2.40,2.40,2.38,2.38
06-22-2016,2.50,2.40,2.40,2.38,2.38
06-23-2016,2.50,2.40,2.40,2.38,2.38
06-24-2016,2.50,2.40,2.40,2.38,2.38
06-27-2016,2.38,2.40,2.40,2.27,2.27
06-28-2016,2.27,2.16,2.16,2.16,2.16
06-29-2016,2.16,2.16,2.26,2.16,2.26
06-30-2016,2.26,2.35,2.37,2.35,2.37
07-01-2016,2.37,2.26,2.26,2.26,2.26
07-05-2016,2.26,2.19,2.19,2.16,2.16
07-05-2016,2.16,2.12,2.26,2.11,2.26
07-07-2016,2.26,2.16,2.16,2.16,2.16
07-08-2016,2.16,2.07,2.07,2.07,2.07
07-11-2016,2.07,2.17,2.17,2.17,2.17
07-12-2016,2.17,2.17,2.17,2.17,2.17
