Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,98.90,98.40,103.00,97.50,100.15
05-19-2016,100.15,100.50,100.50,99.15,99.45
05-20-2016,99.45,100.10,101.35,99.95,100.75
05-21-2016,100.75,100.90,100.90,98.20,98.75
05-23-2016,98.75,99.80,99.80,98.10,98.70
05-24-2016,98.70,99.45,99.45,93.10,93.75
05-25-2016,93.75,99.80,101.60,94.20,95.25
05-26-2016,95.25,96.20,98.50,94.00,98.00
05-27-2016,98.00,100.90,109.00,100.90,105.15
05-30-2016,105.15,106.50,108.00,103.65,105.20
05-31-2016,105.20,105.00,105.30,103.00,104.40
06-01-2016,104.40,104.00,109.60,103.70,108.10
06-02-2016,108.10,107.10,109.70,106.70,108.85
06-04-2016,108.85,108.00,110.00,108.00,108.35
06-06-2016,108.35,108.00,109.00,106.60,107.55
06-07-2016,106.90,109.30,109.90,106.10,106.95
06-08-2016,106.95,108.90,109.60,106.80,107.35
06-09-2016,107.35,109.00,109.50,106.00,106.65
06-10-2016,106.65,108.00,109.00,103.00,104.05
06-13-2016,104.05,105.95,105.95,101.35,102.10
06-14-2016,102.10,102.50,105.00,101.35,102.15
06-15-2016,102.15,103.10,109.50,103.10,108.35
06-16-2016,108.35,108.35,108.35,104.00,105.75
06-17-2016,105.75,106.50,106.90,102.00,102.80
06-19-2016,102.80,104.20,107.00,102.90,105.65
06-21-2016,105.65,104.80,107.45,102.00,104.35
06-22-2016,104.35,104.95,105.70,103.05,104.25
06-23-2016,104.25,104.30,106.70,102.15,103.35
06-24-2016,103.35,101.75,104.00,98.00,100.50
06-27-2016,100.50,99.05,102.80,98.50,101.15
06-28-2016,101.15,102.20,104.05,101.25,102.25
06-29-2016,102.25,103.90,104.75,102.95,103.50
06-30-2016,103.50,103.05,105.50,101.80,103.95
07-01-2016,103.95,105.50,106.00,103.10,103.30
07-05-2016,103.30,105.00,112.45,104.05,109.15
07-05-2016,109.15,111.00,111.00,105.45,105.95
07-08-2016,105.95,106.90,108.90,104.55,105.25
07-08-2016,105.25,108.00,108.00,104.55,105.45
07-11-2016,105.45,106.85,107.20,104.60,105.30
07-12-2016,105.30,105.80,106.40,104.00,104.60
