Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,8.66,9.09,9.09,9.09,9.09
05-19-2016,9.09,9.54,9.54,9.54,9.54
05-20-2016,9.54,10.01,10.01,9.07,9.07
05-21-2016,9.54,10.01,10.01,9.07,9.07
05-23-2016,9.54,10.01,10.01,9.07,9.07
05-24-2016,9.54,10.01,10.01,9.07,9.07
05-25-2016,9.07,9.52,9.52,9.52,9.52
05-26-2016,9.07,9.52,9.52,9.52,9.52
05-27-2016,9.52,9.99,9.99,9.30,9.30
05-30-2016,9.52,9.99,9.99,9.30,9.30
05-31-2016,9.52,9.99,9.99,9.30,9.30
06-01-2016,9.52,9.99,9.99,9.30,9.30
06-02-2016,9.52,9.99,9.99,9.30,9.30
06-04-2016,9.52,9.99,9.99,9.30,9.30
06-06-2016,9.30,9.20,9.20,9.00,9.00
06-07-2016,9.30,9.20,9.20,9.00,9.10
06-08-2016,9.30,9.20,9.20,9.00,9.00
06-09-2016,9.30,9.20,9.20,9.00,9.00
06-10-2016,9.30,9.20,9.20,9.00,9.00
06-13-2016,9.30,9.20,9.20,9.00,9.10
06-14-2016,9.30,9.20,9.20,9.00,9.10
06-15-2016,9.30,9.20,9.20,9.00,9.00
06-16-2016,9.30,9.20,9.20,9.00,9.10
06-17-2016,9.30,9.20,9.20,9.00,9.10
06-19-2016,9.30,9.20,9.20,9.00,9.00
06-21-2016,9.30,9.20,9.20,9.00,9.00
06-22-2016,9.30,9.20,9.20,9.00,9.10
06-23-2016,9.30,9.20,9.20,9.00,9.10
06-24-2016,9.30,9.20,9.20,9.00,9.00
06-27-2016,9.30,9.20,9.20,9.00,9.00
06-28-2016,9.30,9.20,9.20,9.00,9.10
06-29-2016,9.30,9.20,9.20,9.00,9.00
06-30-2016,9.30,9.20,9.20,9.00,9.00
07-01-2016,9.10,9.00,9.00,8.80,8.80
07-05-2016,9.10,9.00,9.00,8.80,8.80
07-05-2016,9.10,9.00,9.00,8.80,8.80
07-08-2016,9.10,9.00,9.00,8.80,8.80
07-08-2016,9.10,9.00,9.00,8.80,8.80
07-11-2016,9.10,9.00,9.00,8.80,8.80
07-12-2016,9.10,9.00,9.00,8.80,8.80
