Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,143.30,143.90,144.25,139.65,140.30
05-19-2016,140.30,135.65,141.00,135.65,139.70
05-20-2016,139.70,139.30,140.10,137.15,138.80
05-20-2016,138.80,137.00,139.35,135.10,138.10
05-23-2016,138.10,140.00,140.00,135.25,135.80
05-24-2016,135.80,135.00,137.10,134.25,136.95
05-25-2016,136.95,146.00,146.00,134.60,135.00
05-26-2016,135.00,135.00,142.60,134.30,141.05
05-27-2016,141.05,136.55,142.40,136.55,140.70
05-30-2016,140.70,138.50,141.00,137.00,138.45
05-31-2016,138.45,135.50,138.85,134.15,135.70
06-01-2016,135.70,133.20,138.25,133.20,136.15
06-02-2016,136.15,136.00,138.05,135.15,137.30
06-04-2016,137.30,137.70,138.10,135.55,137.40
06-06-2016,137.40,137.85,138.65,135.50,136.90
06-07-2016,136.90,137.00,142.00,136.70,139.25
06-08-2016,139.25,139.55,140.30,137.10,137.80
06-09-2016,137.80,139.80,142.00,138.00,138.65
06-10-2016,138.65,138.95,141.60,136.65,138.20
06-13-2016,138.20,138.00,140.90,137.10,139.60
06-14-2016,139.60,143.00,144.00,137.10,138.05
06-15-2016,138.05,138.00,140.05,138.00,138.80
06-16-2016,138.80,138.65,139.80,137.60,138.40
06-17-2016,138.40,139.70,139.70,134.20,136.00
06-19-2016,136.00,138.05,140.90,137.95,138.25
06-21-2016,138.25,138.00,139.80,137.15,137.50
06-22-2016,137.50,138.75,140.10,134.10,135.15
06-23-2016,135.15,132.70,136.95,132.70,135.60
06-24-2016,135.60,132.40,133.40,128.55,132.25
06-27-2016,132.25,134.10,137.85,133.95,137.05
06-28-2016,137.05,138.00,138.50,135.60,136.30
06-29-2016,136.30,137.90,139.00,136.50,137.80
06-30-2016,137.80,138.65,139.95,137.65,138.50
07-01-2016,138.50,138.10,142.50,137.55,138.05
07-05-2016,138.05,139.40,139.75,137.90,138.95
07-05-2016,138.95,138.80,139.30,136.50,137.35
07-07-2016,137.35,138.65,139.15,137.70,138.05
07-08-2016,138.05,138.00,138.00,135.80,136.95
07-11-2016,136.95,139.20,139.70,137.55,138.20
07-12-2016,138.20,142.10,149.00,141.10,146.60
