Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.67,4.90,4.90,4.90,4.90
05-19-2016,4.67,4.90,4.90,4.90,4.90
05-19-2016,4.90,5.14,5.14,5.14,5.14
05-20-2016,5.14,5.39,5.39,5.38,5.38
05-23-2016,5.38,5.12,5.12,5.12,5.12
05-24-2016,5.12,4.87,4.87,4.87,4.87
05-25-2016,4.87,5.11,5.11,5.10,5.10
05-26-2016,5.10,4.85,4.85,4.85,4.85
05-27-2016,4.85,4.80,4.80,4.61,4.61
05-30-2016,4.85,4.80,4.80,4.61,4.61
05-31-2016,4.85,4.80,4.80,4.61,4.61
06-01-2016,4.61,4.84,4.84,4.84,4.84
06-02-2016,4.61,4.84,4.84,4.84,4.84
06-04-2016,4.84,4.60,4.60,4.60,4.60
06-06-2016,4.60,4.37,4.83,4.37,4.83
06-07-2016,4.83,4.59,4.59,4.59,4.59
06-08-2016,4.59,4.81,4.81,4.81,4.81
06-09-2016,4.59,4.81,4.81,4.81,4.81
06-10-2016,4.59,4.81,4.81,4.81,4.81
06-13-2016,4.81,5.05,5.05,5.00,5.00
06-14-2016,5.00,5.25,5.25,5.25,5.25
06-15-2016,5.25,5.51,5.51,5.51,5.51
06-16-2016,5.51,5.78,5.78,5.78,5.78
06-17-2016,5.51,5.78,5.78,5.78,5.78
06-19-2016,5.78,5.50,6.06,5.50,6.06
06-21-2016,6.06,5.77,5.77,5.77,5.77
06-22-2016,6.06,5.77,5.77,5.77,5.77
06-23-2016,5.77,5.49,5.49,5.49,5.49
06-24-2016,5.77,5.49,5.49,5.49,5.49
06-27-2016,5.77,5.49,5.49,5.49,5.49
06-28-2016,5.77,5.49,5.49,5.49,5.49
06-29-2016,5.49,5.22,5.22,5.22,5.22
06-30-2016,5.22,4.97,4.97,4.97,4.97
07-01-2016,4.97,4.78,4.78,4.74,4.74
07-05-2016,4.97,4.78,4.78,4.74,4.74
07-05-2016,4.74,4.52,4.53,4.52,4.53
07-07-2016,4.53,4.75,4.75,4.75,4.75
07-08-2016,4.53,4.75,4.75,4.75,4.75
07-11-2016,4.53,4.75,4.75,4.75,4.75
07-12-2016,4.75,4.98,4.98,4.95,4.95
