Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.55,1.56,1.56,1.56,1.56
05-19-2016,1.55,1.56,1.56,1.56,1.56
05-19-2016,1.55,1.56,1.56,1.56,1.56
05-20-2016,1.55,1.56,1.56,1.56,1.56
05-23-2016,1.55,1.56,1.56,1.56,1.56
05-24-2016,1.55,1.56,1.56,1.56,1.56
05-25-2016,1.55,1.56,1.56,1.56,1.56
05-26-2016,1.56,1.55,1.55,1.55,1.55
05-27-2016,1.55,1.54,1.54,1.54,1.54
05-30-2016,1.55,1.54,1.54,1.54,1.54
05-31-2016,1.55,1.54,1.54,1.54,1.54
06-01-2016,1.54,1.47,1.47,1.47,1.47
06-02-2016,1.54,1.47,1.47,1.47,1.47
06-04-2016,1.47,1.46,1.46,1.46,1.46
06-06-2016,1.47,1.46,1.46,1.46,1.46
06-07-2016,1.46,1.46,1.46,1.46,1.46
06-08-2016,1.46,1.46,1.46,1.46,1.46
06-09-2016,1.46,1.46,1.46,1.46,1.46
06-10-2016,1.46,1.46,1.46,1.46,1.46
06-13-2016,1.46,1.46,1.46,1.46,1.46
06-14-2016,1.46,1.46,1.46,1.46,1.46
06-15-2016,1.46,1.46,1.46,1.46,1.46
06-16-2016,1.46,1.46,1.46,1.46,1.46
06-17-2016,1.46,1.46,1.46,1.46,1.46
06-19-2016,1.46,1.46,1.46,1.46,1.46
06-21-2016,1.46,1.46,1.46,1.46,1.46
06-22-2016,1.46,1.46,1.46,1.46,1.46
06-23-2016,1.46,1.46,1.46,1.46,1.46
06-24-2016,1.46,1.46,1.46,1.46,1.46
06-27-2016,1.46,1.46,1.46,1.46,1.46
06-28-2016,1.46,1.53,1.53,1.53,1.53
06-29-2016,1.46,1.53,1.53,1.53,1.53
06-30-2016,1.46,1.53,1.53,1.53,1.53
07-01-2016,1.46,1.53,1.53,1.53,1.53
07-05-2016,1.46,1.53,1.53,1.53,1.53
07-05-2016,1.53,1.60,1.60,1.60,1.60
07-07-2016,1.60,1.60,1.60,1.60,1.60
07-08-2016,1.60,1.60,1.60,1.60,1.60
07-11-2016,1.60,1.60,1.60,1.60,1.60
07-12-2016,1.60,1.68,1.68,1.68,1.68
