Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,35.50,36.00,36.00,35.25,35.55
05-19-2016,35.55,35.00,35.55,33.40,33.50
05-19-2016,33.50,33.40,33.90,31.35,31.60
05-20-2016,31.60,32.45,32.45,30.75,32.15
05-23-2016,32.15,33.00,33.00,31.15,31.45
05-24-2016,31.45,31.95,33.50,30.70,32.75
05-25-2016,32.75,32.80,33.10,31.90,33.00
05-26-2016,33.00,33.10,34.25,33.10,33.75
05-27-2016,33.75,34.40,35.00,33.10,33.55
05-30-2016,33.55,34.80,34.80,33.15,33.95
05-31-2016,33.95,34.00,35.30,33.40,34.80
06-01-2016,34.80,34.80,35.20,34.70,34.85
06-02-2016,34.85,34.95,36.10,33.20,35.15
06-04-2016,35.15,34.70,35.00,33.45,33.75
06-06-2016,33.75,33.90,34.65,33.70,33.80
06-07-2016,33.90,33.85,34.50,33.60,33.85
06-08-2016,33.85,33.85,34.60,33.75,34.05
06-09-2016,34.05,33.70,34.20,33.45,34.00
06-10-2016,34.00,33.90,34.50,33.70,33.75
06-13-2016,33.75,33.50,33.80,33.20,33.40
06-14-2016,33.40,33.10,33.90,33.10,33.50
06-15-2016,33.50,35.90,35.90,33.20,33.90
06-16-2016,33.90,33.95,34.25,33.35,33.55
06-17-2016,33.55,33.55,33.80,33.20,33.35
06-19-2016,33.35,33.55,33.80,31.55,33.35
06-21-2016,33.35,33.80,34.50,33.00,33.15
06-22-2016,33.15,33.25,33.50,32.90,33.00
06-23-2016,33.00,33.00,33.35,32.90,33.10
06-24-2016,33.10,32.00,33.00,30.00,32.80
06-27-2016,32.80,33.50,33.50,32.25,32.85
06-28-2016,32.85,32.60,33.15,32.00,32.85
06-29-2016,32.85,32.90,33.30,32.65,32.95
06-30-2016,32.95,33.20,33.30,32.90,33.15
07-01-2016,33.15,33.30,33.50,33.00,33.45
07-05-2016,33.45,33.60,34.50,33.40,34.10
07-05-2016,34.10,34.00,34.50,33.90,34.15
07-07-2016,34.15,33.20,35.30,33.20,33.45
07-08-2016,33.45,33.60,34.00,33.05,33.15
07-11-2016,33.15,33.50,34.10,33.50,33.55
07-12-2016,33.55,34.05,34.05,33.50,33.55
07-13-2016,33.55,34.00,34.00,33.00,33.10
