Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,32.10,33.40,33.70,33.40,33.70
05-19-2016,33.70,35.35,35.35,35.00,35.00
05-20-2016,35.00,36.00,36.00,33.40,33.40
05-20-2016,33.40,32.50,32.50,32.50,32.50
05-23-2016,33.40,32.50,32.50,32.50,32.50
05-24-2016,33.40,32.50,32.50,32.50,32.50
05-25-2016,32.50,31.00,32.50,31.00,32.50
05-26-2016,32.50,32.00,32.00,30.90,30.90
05-27-2016,30.90,32.40,32.40,32.40,32.40
05-30-2016,32.40,33.40,33.50,33.40,33.40
05-31-2016,32.40,33.40,33.50,33.40,33.40
06-01-2016,33.40,33.90,33.90,33.90,33.90
06-02-2016,33.90,32.50,32.50,32.25,32.25
06-04-2016,32.25,31.00,31.00,31.00,31.00
06-06-2016,31.00,30.00,30.00,29.60,30.00
06-07-2016,30.00,30.00,30.00,29.00,29.00
06-08-2016,29.00,27.70,27.70,27.55,27.55
06-09-2016,27.55,28.00,28.00,26.20,26.20
06-10-2016,27.55,28.00,28.00,26.20,26.20
06-13-2016,26.20,25.05,25.05,24.90,24.90
06-14-2016,24.90,26.10,26.10,26.10,26.10
06-15-2016,26.10,27.35,27.35,27.35,27.35
06-16-2016,26.10,27.35,27.35,27.35,27.35
06-17-2016,26.10,27.35,27.35,27.35,27.35
06-19-2016,27.35,28.55,28.55,28.55,28.55
06-21-2016,28.55,27.20,27.20,27.15,27.15
06-22-2016,28.55,27.20,27.20,27.15,27.15
06-23-2016,27.15,28.50,28.50,28.50,28.50
06-24-2016,27.15,28.50,28.50,28.50,28.50
06-27-2016,27.15,28.50,28.50,28.50,28.50
06-28-2016,27.15,28.50,28.50,28.50,28.50
06-29-2016,28.50,29.00,29.00,29.00,29.00
06-30-2016,29.00,30.10,30.10,27.55,27.55
07-01-2016,29.00,30.10,30.10,27.55,27.55
07-05-2016,29.00,30.10,30.10,27.55,27.55
07-05-2016,27.55,28.90,28.90,26.20,26.20
07-08-2016,27.55,28.90,28.90,26.20,26.20
07-08-2016,26.20,27.50,27.50,27.50,27.50
07-11-2016,27.50,28.50,28.50,28.50,28.50
07-12-2016,28.50,29.90,29.90,29.90,29.90
