Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1187.30,1193.00,1228.80,1193.00,1216.25
05-19-2016,1216.25,1208.00,1213.80,1196.50,1208.20
05-20-2016,1208.20,1208.00,1208.05,1173.50,1176.70
05-20-2016,1176.70,1180.00,1193.00,1172.85,1180.10
05-23-2016,1180.10,1179.00,1184.00,1158.10,1160.60
05-24-2016,1160.60,1175.00,1177.80,1160.60,1173.30
05-25-2016,1173.30,1185.00,1212.00,1183.60,1206.95
05-26-2016,1206.95,1206.00,1233.70,1191.40,1227.50
05-27-2016,1227.50,1228.50,1266.50,1219.05,1257.30
05-30-2016,1257.30,1257.00,1258.90,1213.30,1230.55
05-31-2016,1230.55,1239.80,1249.00,1223.50,1238.90
06-01-2016,1238.90,1242.00,1247.00,1230.55,1241.35
06-02-2016,1241.35,1238.00,1263.00,1232.50,1260.55
06-04-2016,1260.55,1262.00,1267.50,1246.65,1255.50
06-06-2016,1255.50,1259.00,1265.00,1248.00,1251.70
06-07-2016,1251.70,1247.00,1258.95,1243.25,1250.45
06-08-2016,1250.45,1259.00,1267.00,1248.50,1260.35
06-09-2016,1260.35,1256.00,1257.80,1233.95,1238.40
06-10-2016,1238.40,1243.75,1251.75,1228.55,1230.80
06-13-2016,1230.80,1228.00,1230.80,1202.05,1207.25
06-14-2016,1207.25,1207.25,1212.00,1190.00,1199.50
06-15-2016,1199.50,1212.95,1212.95,1190.50,1205.85
06-16-2016,1205.85,1197.30,1205.50,1183.00,1201.30
06-17-2016,1201.30,1217.90,1236.00,1211.50,1227.80
06-19-2016,1227.80,1211.55,1234.05,1207.85,1227.60
06-21-2016,1227.60,1230.00,1241.25,1220.65,1237.75
06-22-2016,1237.75,1235.00,1241.90,1225.05,1238.20
06-23-2016,1238.20,1230.10,1249.00,1229.05,1242.55
06-24-2016,1242.55,1218.00,1227.00,1199.90,1223.65
06-27-2016,1223.65,1208.00,1229.50,1208.00,1216.95
06-28-2016,1216.95,1219.00,1232.75,1212.00,1229.00
06-29-2016,1229.00,1232.05,1250.90,1231.50,1247.60
06-30-2016,1247.60,1254.00,1266.00,1243.75,1252.70
07-01-2016,1252.70,1240.00,1262.50,1239.70,1244.65
07-05-2016,1244.65,1250.80,1265.20,1247.50,1252.45
07-05-2016,1252.45,1256.10,1261.95,1246.50,1259.30
07-07-2016,1259.30,1260.00,1294.35,1252.50,1290.95
07-08-2016,1290.95,1290.95,1300.45,1273.10,1282.90
07-11-2016,1282.90,1298.00,1317.90,1298.00,1313.00
07-12-2016,1313.00,1315.20,1336.00,1315.20,1332.75
