Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,155.30,157.60,157.70,155.00,156.10
05-19-2016,156.10,155.60,156.90,155.30,156.20
05-20-2016,156.20,156.00,158.90,154.30,154.50
05-20-2016,154.50,154.80,155.00,153.30,154.30
05-23-2016,154.30,155.00,155.00,152.00,152.75
05-24-2016,152.75,150.50,153.65,150.30,151.65
05-25-2016,151.65,152.60,153.90,151.00,151.90
05-26-2016,151.90,151.05,152.80,150.50,151.60
05-27-2016,151.60,153.00,154.00,152.10,152.40
05-30-2016,152.40,153.00,154.95,150.10,152.00
05-31-2016,152.00,152.00,154.50,150.15,151.00
06-01-2016,151.00,152.00,154.50,150.55,152.55
06-02-2016,152.55,152.60,154.40,152.10,154.00
06-04-2016,154.00,154.30,154.95,150.75,151.20
06-06-2016,151.20,151.25,153.90,151.20,151.55
06-07-2016,151.55,152.50,153.95,150.00,151.10
06-08-2016,151.10,151.55,159.35,151.50,156.00
06-09-2016,156.00,157.00,159.00,155.30,157.65
06-10-2016,157.65,157.50,158.00,156.00,156.60
06-13-2016,156.60,157.00,157.25,155.20,156.00
06-14-2016,156.00,157.00,163.50,157.00,159.50
06-15-2016,159.50,156.15,157.00,152.30,153.20
06-16-2016,153.20,152.00,152.90,148.60,150.60
06-17-2016,150.60,153.75,153.80,150.00,150.35
06-19-2016,150.35,149.00,151.75,148.55,150.85
06-21-2016,150.85,150.15,154.05,149.60,149.60
06-22-2016,149.60,148.80,151.20,148.80,150.20
06-23-2016,150.20,148.85,150.00,148.50,149.10
06-24-2016,149.10,147.00,149.95,144.35,148.75
06-27-2016,148.75,147.00,150.75,147.00,149.00
06-28-2016,149.00,149.80,171.50,149.80,162.20
06-29-2016,162.20,162.05,166.80,161.00,161.80
06-30-2016,161.80,161.00,165.35,158.60,159.30
07-01-2016,159.30,161.10,165.60,159.75,161.85
07-05-2016,161.85,163.50,165.00,163.05,164.10
07-05-2016,164.10,162.25,166.95,162.25,163.35
07-07-2016,163.35,164.00,164.00,162.00,163.25
07-08-2016,163.25,161.95,165.00,159.85,161.00
07-11-2016,161.00,160.00,170.50,160.00,163.40
07-12-2016,163.40,168.90,168.90,162.30,164.50
