Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,14.71,13.00,14.84,13.00,13.97

06-08-2016,13.97,13.27,14.00,13.27,14.00
06-09-2016,14.00,13.53,13.53,13.24,13.26
06-10-2016,13.26,13.00,13.45,13.00,13.10
06-13-2016,13.10,13.25,14.20,13.25,13.96
06-14-2016,13.96,13.10,13.75,13.00,13.75
06-15-2016,13.75,13.25,13.91,13.25,13.81
06-16-2016,13.81,13.90,14.49,13.00,13.68
06-17-2016,13.68,13.68,14.10,13.15,13.95
06-19-2016,13.95,13.35,14.09,13.35,14.00
06-21-2016,14.00,13.53,13.99,13.53,13.63
06-22-2016,13.63,13.25,14.90,13.25,14.44
06-23-2016,14.44,14.85,17.32,14.30,17.32
06-24-2016,17.32,17.10,18.45,15.75,17.52
06-27-2016,17.52,16.45,20.48,16.45,19.49
06-28-2016,19.49,20.00,20.30,19.13,19.88
06-29-2016,19.88,19.83,20.10,18.90,19.05
06-30-2016,19.05,19.00,19.74,18.61,19.06
07-01-2016,19.06,18.85,19.10,18.80,18.85
07-05-2016,18.85,18.75,18.95,18.30,18.35
07-05-2016,18.35,18.00,18.20,16.60,16.80
07-07-2016,16.80,17.25,18.45,16.70,17.60
07-08-2016,17.60,17.30,18.45,16.90,16.90
07-11-2016,16.90,16.85,18.10,16.85,17.60
07-12-2016,17.60,17.95,17.95,17.20,17.75
