Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,232.15,232.20,238.00,230.65,231.70
05-19-2016,231.70,229.10,234.20,228.45,231.05
05-20-2016,231.05,230.00,234.00,227.45,228.25
05-21-2016,228.25,229.80,230.60,212.10,221.70
05-23-2016,221.70,225.90,232.75,218.50,222.45
05-24-2016,222.45,220.50,220.95,211.50,217.45
05-25-2016,217.45,219.45,222.05,215.55,216.50
05-26-2016,216.50,217.00,221.00,213.10,216.75
05-27-2016,216.75,220.00,225.20,217.15,224.60
05-30-2016,224.60,225.10,228.30,219.65,221.55
05-31-2016,221.55,222.00,223.80,219.00,220.50
06-01-2016,220.50,220.60,225.00,219.50,220.50
06-02-2016,220.50,220.00,224.40,220.00,221.25
06-04-2016,221.25,223.10,227.55,221.10,221.80
06-06-2016,221.80,221.30,226.90,220.00,221.75
06-07-2016,221.75,222.55,234.50,222.55,233.45
06-08-2016,233.45,229.00,234.00,228.60,230.50
06-09-2016,230.50,231.70,234.35,228.60,229.50
06-10-2016,229.50,230.80,237.95,230.30,231.75
06-13-2016,231.75,228.00,233.30,225.70,229.35
06-14-2016,229.35,231.95,236.90,225.25,227.00
06-15-2016,227.00,228.15,230.60,224.55,226.65
06-16-2016,226.65,226.00,230.00,225.00,228.55
06-17-2016,228.55,230.10,235.00,224.00,227.70
06-19-2016,227.70,229.00,230.00,225.90,227.30
06-21-2016,227.30,228.85,233.85,225.50,231.45
06-22-2016,231.45,232.00,239.00,231.00,235.20
06-23-2016,235.20,235.50,237.00,230.50,234.55
06-24-2016,234.55,230.00,231.80,216.10,223.55
06-27-2016,223.55,222.35,228.00,222.10,226.45
06-28-2016,226.45,225.55,229.25,224.60,225.70
06-29-2016,225.70,228.30,232.00,226.90,229.20
06-30-2016,229.20,228.65,231.30,227.80,229.00
07-01-2016,229.00,230.00,233.95,228.00,231.40
07-05-2016,231.40,231.50,238.35,231.50,233.40
07-05-2016,233.40,234.20,253.95,234.20,251.85
07-08-2016,251.85,251.70,257.45,247.50,253.50
07-08-2016,253.50,253.50,264.75,246.50,261.45
07-11-2016,261.45,263.40,273.00,262.00,264.80
07-12-2016,264.80,266.50,274.65,263.10,271.65
