Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1285.75,1270.00,1295.00,1255.00,1271.25
05-19-2016,1271.25,1280.00,1289.50,1260.00,1277.25
05-20-2016,1277.25,1280.00,1285.00,1255.25,1265.75
05-20-2016,1265.75,1255.50,1288.00,1255.25,1271.25
05-23-2016,1271.25,1290.00,1292.00,1212.30,1225.50
05-24-2016,1225.50,1226.00,1230.00,1207.00,1213.50
05-25-2016,1213.50,1216.00,1245.00,1200.00,1200.20
05-26-2016,1200.20,1219.00,1219.00,1180.00,1187.40
05-27-2016,1187.40,1199.00,1210.45,1195.00,1202.40
05-30-2016,1202.40,1215.00,1221.45,1207.00,1219.35
05-31-2016,1219.35,1210.00,1210.00,1185.10,1187.75
06-01-2016,1187.75,1185.00,1210.00,1182.45,1198.65
06-02-2016,1198.65,1199.10,1200.00,1177.00,1182.30
06-04-2016,1182.30,1190.00,1202.00,1182.55,1185.35
06-06-2016,1185.35,1195.00,1195.00,1166.75,1175.25
06-07-2016,1175.25,1197.95,1217.95,1171.00,1202.15
06-08-2016,1202.15,1190.00,1211.15,1190.00,1205.90
06-09-2016,1205.90,1190.00,1253.00,1182.35,1205.60
06-10-2016,1205.60,1213.95,1217.00,1195.55,1195.55
06-13-2016,1195.55,1195.00,1205.00,1181.00,1200.45
06-14-2016,1200.45,1204.60,1219.90,1177.00,1198.15
06-15-2016,1198.15,1205.00,1226.70,1205.00,1221.90
06-16-2016,1221.90,1219.00,1224.90,1189.45,1218.55
06-17-2016,1218.55,1224.95,1235.00,1206.00,1213.45
06-19-2016,1213.45,1205.00,1207.35,1204.95,1205.50
06-21-2016,1205.50,1200.00,1212.00,1195.00,1200.00
06-22-2016,1200.00,1195.05,1234.00,1191.05,1220.15
06-23-2016,1220.15,1211.00,1211.00,1195.50,1200.00
06-24-2016,1200.00,1160.00,1187.80,1160.00,1184.00
06-27-2016,1184.00,1185.00,1243.00,1185.00,1209.55
06-28-2016,1209.55,1205.00,1214.00,1187.00,1197.60
06-29-2016,1197.60,1197.60,1255.00,1197.60,1237.75
06-30-2016,1237.75,1240.60,1266.00,1230.00,1251.30
07-01-2016,1251.30,1251.00,1270.00,1250.00,1257.35
07-05-2016,1257.35,1260.00,1262.05,1243.00,1255.15
07-05-2016,1255.15,1269.90,1269.90,1226.80,1232.65
07-07-2016,1232.65,1234.00,1234.00,1210.50,1211.60
07-08-2016,1211.60,1220.00,1220.00,1202.00,1220.00
07-11-2016,1220.00,1222.80,1235.00,1220.00,1230.00
07-12-2016,1230.00,1225.00,1230.00,1213.00,1227.10
