Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4314.20,4252.45,4265.55,4252.45,4265.55
05-19-2016,4265.55,4345.00,4415.00,4291.05,4378.45
05-20-2016,4378.45,4445.00,4510.00,4356.00,4375.15
05-21-2016,4375.15,4372.80,4375.00,4198.00,4217.65
05-23-2016,4217.65,4202.00,4202.00,4131.35,4176.25
05-24-2016,4176.25,4150.00,4177.50,4092.75,4125.70
05-25-2016,4176.25,4150.00,4177.50,4092.75,4125.70
05-26-2016,4125.70,4300.00,4518.00,4120.00,4371.20
05-27-2016,4371.20,4484.95,4485.65,4249.50,4340.55
05-30-2016,4340.55,4330.00,4370.00,4297.05,4369.60
05-31-2016,4369.60,4312.95,4396.55,4312.95,4328.85
06-01-2016,4328.85,4310.15,4310.15,4307.30,4307.85
06-02-2016,4307.85,4338.85,4338.85,4338.85,4338.85
06-04-2016,4338.85,4290.00,4290.00,4285.00,4290.00
06-06-2016,4290.00,4226.75,4302.70,4200.10,4260.15
06-07-2016,4264.55,4260.00,4260.00,4260.00,4260.00
06-08-2016,4260.00,4278.80,4300.00,4200.00,4258.90
06-09-2016,4258.90,4203.25,4232.15,4193.15,4230.70
06-10-2016,4230.70,4230.00,4230.00,4230.00,4230.00
06-13-2016,4230.00,4230.00,4230.00,4200.00,4210.20
06-14-2016,4210.20,4211.00,4211.00,4191.70,4197.95
06-15-2016,4197.95,4148.70,4148.70,4120.00,4138.85
06-16-2016,4138.85,4155.00,4300.00,4120.00,4279.25
06-17-2016,4279.25,4311.50,4312.60,4114.05,4239.65
06-19-2016,4239.65,4297.90,4297.90,4200.00,4202.05
06-21-2016,4202.05,4206.10,4300.00,4206.10,4300.00
06-22-2016,4300.00,4256.00,4389.00,4256.00,4306.00
06-23-2016,4306.00,4230.00,4239.00,4222.65,4238.80
06-24-2016,4238.80,4120.00,4266.90,4115.00,4120.00
06-27-2016,4120.00,4100.00,4118.90,4079.00,4079.00
06-28-2016,4079.00,4064.40,4064.40,4001.00,4002.40
06-29-2016,4002.40,3984.00,4017.85,3980.00,3996.50
06-30-2016,3996.50,4058.90,4060.00,4000.00,4004.25
07-01-2016,4004.25,4001.30,4032.40,3982.10,3997.45
07-05-2016,3997.45,4000.05,4034.95,4000.05,4000.05
07-05-2016,4000.05,4000.00,4006.65,3950.00,3950.75
07-08-2016,3950.75,3955.00,3983.80,3927.05,3938.85
07-08-2016,3938.85,3900.00,3937.30,3897.00,3897.45
07-11-2016,3897.45,3949.00,3949.00,3910.00,3910.00
07-12-2016,3910.00,4000.00,4000.00,3910.00,3928.65
