Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,420.60,415.80,422.00,410.30,420.10
05-19-2016,420.10,410.00,422.00,406.00,417.10
05-19-2016,417.10,422.10,422.10,405.00,405.20
05-20-2016,405.20,402.00,410.00,384.00,402.50
05-23-2016,402.50,400.00,400.00,387.00,390.55
05-24-2016,390.55,392.25,392.25,370.05,377.85
05-25-2016,377.85,388.70,395.00,387.05,392.60
05-26-2016,392.60,385.50,395.95,381.65,394.85
05-27-2016,394.85,390.00,390.00,387.00,389.50
05-30-2016,389.50,395.00,398.50,391.00,395.20
05-31-2016,395.20,391.50,398.40,391.50,396.20
06-01-2016,396.20,400.00,404.40,396.00,398.00
06-02-2016,398.00,405.00,405.00,391.00,399.80
06-04-2016,399.80,400.00,409.80,400.00,403.35
06-06-2016,403.35,404.10,404.50,400.00,400.00
06-07-2016,400.00,395.00,397.10,384.05,385.60
06-08-2016,385.60,397.90,398.00,387.50,387.75
06-09-2016,387.75,393.20,402.85,393.00,399.70
06-10-2016,399.70,403.20,403.20,390.00,395.30
06-13-2016,395.30,390.50,399.90,385.00,397.40
06-14-2016,395.30,390.50,399.90,385.00,397.40
06-15-2016,397.40,387.50,433.90,385.75,419.00
06-16-2016,419.00,410.00,411.55,401.10,402.70
06-17-2016,402.70,405.00,411.90,403.00,403.00
06-19-2016,403.00,405.00,410.95,388.05,397.55
06-21-2016,397.55,392.50,399.95,392.50,398.05
06-22-2016,398.05,395.00,405.00,394.00,397.75
06-23-2016,397.75,395.10,400.00,395.10,397.25
06-24-2016,397.25,385.00,386.00,381.15,383.50
06-27-2016,383.50,394.50,400.00,394.50,399.95
06-28-2016,399.95,400.00,409.00,400.00,408.00
06-29-2016,408.00,396.05,414.95,396.05,408.50
06-30-2016,408.50,405.95,409.90,398.50,399.35
07-01-2016,399.35,405.00,412.40,404.30,409.95
07-05-2016,409.95,409.95,413.00,403.10,403.80
07-05-2016,403.80,422.00,422.00,403.00,412.00
07-07-2016,412.00,401.00,401.00,393.05,394.50
07-08-2016,394.50,398.00,412.00,398.00,403.70
07-11-2016,403.70,412.00,412.00,401.25,412.00
07-12-2016,410.45,413.85,423.00,410.10,410.10
07-13-2016,410.10,412.00,417.00,405.55,410.00
