Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,71.00,67.45,72.50,67.45,72.05
05-19-2016,71.00,67.45,72.50,67.45,72.05
05-19-2016,72.05,68.45,68.45,68.45,68.45
05-20-2016,68.45,65.05,65.05,65.05,65.05
05-23-2016,68.45,65.05,65.05,65.05,65.05
05-24-2016,68.45,65.05,65.05,65.05,65.05
05-25-2016,68.45,65.05,65.05,65.05,65.05
05-26-2016,65.05,62.30,65.50,62.00,65.50
05-27-2016,65.50,64.30,64.30,64.00,64.00
05-30-2016,65.50,64.30,64.30,64.00,64.00
05-31-2016,65.50,64.30,64.30,64.00,64.00
06-01-2016,65.50,64.30,64.30,64.00,64.00
06-02-2016,65.50,64.30,64.30,64.00,64.00
06-04-2016,64.00,61.05,65.80,61.05,61.25
06-06-2016,64.00,61.05,65.80,61.05,61.25
06-07-2016,61.25,60.20,60.85,60.20,60.85
06-08-2016,60.85,59.20,59.20,59.20,59.20
06-09-2016,60.85,59.20,59.20,59.20,59.20
06-10-2016,59.20,62.00,62.00,62.00,62.00
06-13-2016,59.20,62.00,62.00,62.00,62.00
06-14-2016,59.20,62.00,62.00,62.00,62.00
06-15-2016,62.00,62.10,62.10,62.05,62.05
06-16-2016,62.05,62.10,62.10,62.10,62.10
06-17-2016,62.10,60.85,64.00,60.85,64.00
06-19-2016,64.00,62.00,64.00,61.55,61.55
06-21-2016,61.55,59.65,59.65,59.65,59.65
06-22-2016,61.55,59.65,59.65,59.65,59.65
06-23-2016,61.55,59.65,59.65,59.65,59.65
06-24-2016,61.55,59.65,59.65,59.65,59.65
06-27-2016,61.55,59.65,59.65,59.65,59.65
06-28-2016,61.55,59.65,59.65,59.65,59.65
06-29-2016,61.55,59.65,59.65,59.65,59.65
06-30-2016,59.65,62.60,62.60,62.60,62.60
07-01-2016,62.60,65.70,65.70,64.15,64.15
07-05-2016,64.15,67.35,67.35,65.00,67.35
07-05-2016,67.35,65.05,65.05,65.05,65.05
07-07-2016,65.05,67.00,68.30,67.00,68.20
07-08-2016,68.20,69.00,70.00,65.65,65.65
07-11-2016,65.65,68.90,68.90,68.80,68.80
07-12-2016,68.80,66.15,68.60,66.15,68.60
