Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.10,4.20,4.20,4.20,4.20
05-19-2016,4.20,4.05,4.05,4.05,4.05
05-19-2016,4.05,4.00,4.00,3.85,3.85
05-20-2016,3.85,3.85,3.85,3.85,3.85
05-23-2016,3.85,3.85,3.85,3.85,3.85
05-24-2016,3.85,3.84,3.84,3.84,3.84
05-25-2016,3.84,3.65,3.65,3.65,3.65
05-26-2016,3.65,3.65,3.65,3.65,3.65
05-27-2016,3.65,3.65,3.65,3.65,3.65
05-30-2016,3.65,3.83,3.83,3.83,3.83
05-31-2016,3.65,3.83,3.83,3.83,3.83
06-01-2016,3.65,3.83,3.83,3.83,3.83
06-02-2016,3.83,3.83,3.83,3.83,3.83
06-04-2016,3.83,3.64,3.64,3.64,3.64
06-06-2016,3.83,3.64,3.64,3.64,3.64
06-07-2016,3.83,3.64,3.64,3.64,3.64
06-08-2016,3.83,3.64,3.64,3.64,3.64
06-09-2016,3.83,3.64,3.64,3.64,3.64
06-10-2016,3.83,3.64,3.64,3.64,3.64
06-13-2016,3.83,3.64,3.64,3.64,3.64
06-14-2016,3.83,3.64,3.64,3.64,3.64
06-15-2016,3.83,3.64,3.64,3.64,3.64
06-16-2016,3.83,3.64,3.64,3.64,3.64
06-17-2016,3.83,3.64,3.64,3.64,3.64
06-19-2016,3.83,3.64,3.64,3.64,3.64
06-21-2016,3.83,3.64,3.64,3.64,3.64
06-22-2016,3.83,3.64,3.64,3.64,3.64
06-23-2016,3.83,3.64,3.64,3.64,3.64
06-24-2016,3.83,3.64,3.64,3.64,3.64
06-27-2016,3.83,3.64,3.64,3.64,3.64
06-28-2016,3.64,3.82,3.82,3.82,3.82
06-29-2016,3.64,3.82,3.82,3.82,3.82
06-30-2016,3.82,4.00,4.00,4.00,4.00
07-01-2016,3.82,4.00,4.00,4.00,4.00
07-05-2016,3.82,4.00,4.00,4.00,4.00
07-05-2016,3.82,4.00,4.00,4.00,4.00
07-07-2016,3.82,4.00,4.00,4.00,4.00
07-08-2016,3.82,4.00,4.00,4.00,4.00
07-11-2016,3.82,4.00,4.00,4.00,4.00
07-12-2016,4.00,4.20,4.20,4.19,4.19
