Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,39.85,39.95,42.90,38.05,39.95
05-19-2016,39.95,40.95,40.95,35.00,40.80
05-20-2016,40.80,42.95,42.95,38.50,41.00
05-20-2016,41.00,41.80,41.80,38.85,40.35
05-23-2016,40.35,42.00,42.00,40.00,40.50
05-24-2016,40.50,44.40,45.00,40.00,41.30
05-25-2016,41.30,42.00,42.00,39.50,40.05
05-26-2016,40.05,41.95,41.95,39.25,40.25
05-27-2016,40.25,40.00,41.95,38.00,39.30
05-30-2016,39.30,41.95,41.95,39.00,39.95
05-31-2016,39.95,40.95,40.95,39.25,40.20
06-01-2016,40.20,41.00,41.00,39.55,40.00
06-02-2016,40.00,40.00,40.00,39.00,39.90
06-04-2016,39.90,40.00,40.00,38.55,39.00
06-06-2016,39.00,46.00,46.00,37.00,37.05
06-07-2016,37.05,39.30,39.30,37.00,38.00
06-08-2016,38.00,39.00,39.80,37.00,38.40
06-09-2016,38.40,39.00,39.25,38.00,38.30
06-10-2016,38.30,39.00,39.80,38.25,38.55
06-13-2016,38.55,40.50,40.50,37.00,39.00
06-14-2016,39.00,38.65,38.65,36.75,38.55
06-15-2016,38.55,38.00,38.60,38.00,38.50
06-16-2016,38.50,38.35,39.60,37.65,38.20
06-17-2016,38.20,38.65,40.00,37.00,38.00
06-19-2016,38.00,38.00,38.30,37.00,38.00
06-21-2016,38.00,38.10,41.00,37.25,37.35
06-22-2016,37.35,38.80,41.90,37.55,38.70
06-23-2016,38.70,41.75,45.70,38.50,43.55
06-24-2016,43.55,40.00,42.50,36.25,42.05
06-27-2016,42.05,42.50,44.50,42.05,43.15
06-28-2016,43.15,44.50,44.50,42.20,42.25
06-29-2016,42.25,41.00,44.25,40.00,42.55
06-30-2016,42.55,42.95,42.95,40.60,41.60
07-01-2016,41.60,41.20,41.80,39.65,40.40
07-05-2016,40.40,40.50,41.75,40.40,40.45
07-05-2016,40.45,41.75,41.75,39.65,40.00
07-07-2016,40.00,40.05,41.75,40.00,40.25
07-08-2016,40.25,41.95,42.00,40.50,41.00
07-11-2016,41.00,41.00,41.95,40.00,40.05
07-12-2016,40.05,42.00,42.75,40.05,40.10
