Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,193.80,194.85,202.60,193.55,197.50
05-19-2016,197.50,195.20,196.50,193.00,194.90
05-20-2016,194.90,196.40,197.35,192.10,192.60
05-21-2016,192.60,194.10,196.00,192.55,194.35
05-23-2016,194.35,193.45,199.40,193.20,195.45
05-24-2016,195.45,194.75,195.45,190.90,191.85
05-25-2016,191.85,191.50,194.00,191.50,192.35
05-26-2016,192.35,193.00,198.00,192.05,195.40
05-27-2016,195.40,196.50,197.00,194.00,196.30
05-30-2016,196.30,194.70,204.00,194.00,202.35
05-31-2016,202.35,202.50,203.20,198.00,201.50
06-01-2016,201.50,203.20,207.00,203.00,206.25
06-02-2016,206.25,206.20,207.65,203.00,205.05
06-04-2016,205.05,205.00,205.00,198.00,198.50
06-06-2016,198.50,197.10,203.85,193.10,202.55
06-07-2016,202.55,199.60,211.00,198.95,207.25
06-08-2016,207.25,209.00,216.70,205.90,215.60
06-09-2016,215.60,216.15,219.00,212.00,213.30
06-10-2016,213.30,214.30,229.00,214.10,221.75
06-13-2016,221.75,219.50,221.80,217.25,220.25
06-14-2016,220.25,220.00,223.00,217.25,219.15
06-15-2016,219.15,221.75,227.25,220.30,222.75
06-16-2016,222.75,220.65,228.95,220.10,221.40
06-17-2016,221.40,225.00,226.20,220.20,221.40
06-19-2016,221.40,219.65,222.50,218.15,220.55
06-21-2016,220.55,220.65,226.00,220.10,225.35
06-22-2016,225.35,227.00,233.25,226.00,227.20
06-23-2016,227.20,229.60,231.80,221.40,223.60
06-24-2016,223.60,220.00,220.00,207.85,215.95
06-27-2016,215.95,219.00,223.30,217.25,221.80
06-28-2016,221.80,224.25,224.25,217.00,218.80
06-29-2016,218.80,222.90,238.35,222.90,234.45
06-30-2016,234.45,235.40,249.60,232.00,241.10
07-01-2016,241.10,243.75,247.60,242.00,245.05
07-05-2016,245.05,247.50,251.00,242.70,245.15
07-05-2016,245.15,245.85,248.35,241.90,247.20
07-08-2016,247.20,249.40,251.40,241.20,242.10
07-08-2016,242.10,245.00,246.75,239.55,240.55
07-11-2016,240.55,243.00,247.40,243.00,245.15
07-12-2016,245.15,245.50,248.60,242.90,246.35
