Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,73.90,74.00,74.00,71.25,71.25
05-19-2016,71.25,71.35,71.35,71.25,71.25
05-19-2016,71.25,71.50,71.50,71.50,71.50
05-20-2016,71.50,71.05,71.30,71.05,71.30
05-23-2016,71.30,71.30,71.30,71.20,71.20
05-24-2016,71.20,71.10,71.10,71.10,71.10
05-25-2016,71.10,71.25,71.25,71.25,71.25
05-26-2016,71.25,71.50,72.00,71.50,71.70
05-27-2016,71.70,73.50,75.25,71.75,72.30
05-30-2016,72.30,71.80,72.35,71.80,72.30
05-31-2016,72.30,74.80,74.80,72.10,74.00
06-01-2016,72.30,74.80,74.80,72.10,74.00
06-02-2016,74.00,74.00,74.90,72.05,72.05
06-04-2016,72.05,69.25,72.00,69.10,69.10
06-06-2016,69.10,65.65,65.65,65.65,65.65
06-07-2016,65.65,68.90,68.90,68.90,68.90
06-08-2016,68.90,72.30,72.30,72.30,72.30
06-09-2016,72.30,75.90,75.90,75.90,75.90
06-10-2016,75.90,79.65,79.65,79.65,79.65
06-13-2016,79.65,79.90,81.50,76.30,81.10
06-14-2016,81.10,83.85,83.85,77.15,80.10
06-15-2016,80.10,81.90,82.40,77.70,81.75
06-16-2016,81.75,82.25,83.40,79.05,81.35
06-17-2016,81.35,79.85,81.00,79.00,80.35
06-19-2016,80.35,79.10,81.00,79.00,80.00
06-21-2016,80.00,80.50,80.50,80.50,80.50
06-22-2016,80.50,79.55,80.50,78.50,79.80
06-23-2016,79.80,80.00,80.50,78.10,79.85
06-24-2016,79.85,76.05,79.20,76.00,79.00
06-27-2016,79.00,77.00,80.00,77.00,79.90
06-28-2016,79.90,75.95,79.90,75.95,76.90
06-29-2016,76.90,74.00,77.00,73.35,76.80
06-30-2016,76.80,74.00,78.00,73.75,75.00
07-01-2016,75.00,75.50,78.75,75.50,78.75
07-05-2016,78.75,77.00,81.75,77.00,77.00
07-05-2016,77.00,80.85,80.85,77.00,78.00
07-07-2016,78.00,76.50,79.00,76.00,78.75
07-08-2016,78.75,79.00,79.00,76.10,76.10
07-11-2016,76.10,78.00,78.05,72.30,77.00
07-12-2016,77.00,79.95,80.10,76.00,79.95
07-13-2016,79.95,76.00,80.00,76.00,78.90
