Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,10.90,10.79,11.44,10.79,11.43
05-19-2016,10.90,10.79,11.44,10.79,11.43
05-20-2016,11.43,11.30,11.76,11.30,11.44
05-21-2016,11.44,11.50,11.90,10.87,11.90
05-23-2016,11.90,11.31,11.31,11.31,11.31
05-24-2016,11.31,11.79,11.79,10.75,11.74
05-25-2016,11.74,12.10,12.20,11.16,11.81
05-26-2016,11.81,12.20,12.20,11.22,11.31
05-27-2016,11.31,11.30,11.87,10.75,11.48
05-30-2016,11.48,11.00,11.00,11.00,11.00
05-31-2016,11.00,10.45,10.45,10.45,10.45
06-01-2016,10.45,9.93,9.93,9.93,9.93
06-02-2016,9.93,9.44,9.44,9.44,9.44
06-04-2016,9.44,9.19,9.91,9.19,9.89
06-06-2016,9.89,10.38,10.38,9.40,10.35
06-07-2016,10.35,9.84,10.00,9.84,9.84
06-08-2016,9.84,9.35,9.94,9.35,9.90
06-09-2016,9.90,10.38,10.38,9.45,10.35
06-10-2016,9.90,10.38,10.38,9.45,10.35
06-13-2016,10.35,9.84,9.84,9.84,9.84
06-14-2016,9.84,9.35,10.32,9.35,10.32
06-15-2016,10.32,10.80,10.80,9.81,9.81
06-16-2016,9.81,10.30,10.30,9.32,10.15
06-17-2016,10.15,10.65,10.65,9.70,10.15
06-19-2016,10.15,10.65,10.65,9.70,10.15
06-21-2016,10.15,9.65,9.65,9.65,9.65
06-22-2016,9.65,9.17,9.65,9.17,9.65
06-23-2016,9.65,10.10,10.10,9.17,9.94
06-24-2016,9.94,9.45,9.45,9.45,9.45
06-27-2016,9.45,8.98,8.98,8.98,8.98
06-28-2016,8.98,8.54,8.94,8.54,8.58
06-29-2016,8.58,8.20,8.20,8.16,8.16
06-30-2016,8.16,7.76,7.76,7.76,7.76
07-01-2016,7.76,7.76,7.76,7.56,7.56
07-05-2016,7.56,7.19,7.19,7.19,7.19
07-05-2016,7.19,6.84,7.19,6.84,7.02
07-08-2016,7.02,6.70,7.00,6.70,6.70
07-08-2016,6.70,7.03,7.03,7.03,7.03
07-11-2016,7.03,6.70,6.70,6.70,6.70
07-12-2016,6.70,6.40,6.40,6.37,6.37
