Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.81,7.81,7.98,7.75,7.98
05-19-2016,7.98,7.53,7.97,7.52,7.86
05-19-2016,7.86,7.80,8.10,7.71,7.75
05-20-2016,7.75,8.04,8.04,7.57,7.64
05-23-2016,7.64,8.15,8.15,7.70,7.94
05-24-2016,7.94,7.54,7.85,7.51,7.51
05-25-2016,7.51,7.30,7.82,7.30,7.39
05-26-2016,7.39,7.96,8.00,7.61,7.92
05-27-2016,7.92,8.14,8.14,7.53,8.04
05-30-2016,8.04,7.52,7.60,7.52,7.60
05-31-2016,7.60,8.98,8.99,7.34,7.74
06-01-2016,7.74,8.00,8.00,7.35,7.98
06-02-2016,7.98,7.90,7.99,7.12,7.40
06-04-2016,7.40,7.23,7.50,6.72,7.19
06-06-2016,7.19,7.19,7.66,6.87,7.00
06-07-2016,6.98,7.90,7.90,6.90,7.02
06-08-2016,7.02,7.70,7.70,7.00,7.09
06-09-2016,7.09,7.54,7.73,7.10,7.40
06-10-2016,7.40,7.40,7.40,7.00,7.39
06-13-2016,7.39,7.38,7.38,7.00,7.00
06-14-2016,7.00,7.59,7.59,7.01,7.15
06-15-2016,7.15,7.50,7.89,7.25,7.52
06-16-2016,7.52,7.46,8.00,7.45,7.69
06-17-2016,7.69,7.96,7.96,7.85,7.85
06-19-2016,7.85,8.00,8.10,7.69,7.80
06-21-2016,7.80,7.99,8.00,7.50,7.90
06-22-2016,7.90,7.56,7.87,7.50,7.87
06-23-2016,7.87,7.15,7.85,7.15,7.85
06-24-2016,7.85,8.00,8.00,6.76,7.50
06-27-2016,7.50,7.50,7.96,7.33,7.64
06-28-2016,7.64,6.80,7.95,6.80,7.50
06-29-2016,7.50,7.25,7.89,7.25,7.54
06-30-2016,7.54,7.97,8.23,7.60,8.08
07-01-2016,8.08,8.59,8.60,7.71,8.23
07-05-2016,8.23,7.20,9.60,7.20,8.83
07-05-2016,8.83,8.52,8.89,8.51,8.53
07-07-2016,8.53,9.30,9.30,8.36,8.40
07-08-2016,8.40,8.00,9.00,8.00,8.99
07-11-2016,8.99,9.00,9.25,8.80,9.10
07-12-2016,9.10,9.00,9.00,8.50,8.50
