Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,5.43,5.70,5.70,5.70,5.70
05-19-2016,5.43,5.70,5.70,5.70,5.70
05-19-2016,5.43,5.70,5.70,5.70,5.70
05-20-2016,5.70,5.42,5.42,5.42,5.42
05-23-2016,5.70,5.42,5.42,5.42,5.42
05-24-2016,5.42,5.15,5.15,5.15,5.15
05-25-2016,5.42,5.15,5.15,5.15,5.15
05-26-2016,5.15,4.90,4.90,4.90,4.90
05-27-2016,5.15,4.90,4.90,4.90,4.90
05-30-2016,4.90,4.66,4.66,4.66,4.66
05-31-2016,4.66,4.89,4.89,4.89,4.89
06-01-2016,4.89,5.13,5.13,4.65,4.65
06-02-2016,4.65,4.42,4.88,4.42,4.88
06-04-2016,4.88,4.64,4.64,4.64,4.64
06-06-2016,4.88,4.64,4.64,4.64,4.64
06-07-2016,4.64,4.41,4.41,4.41,4.41
06-08-2016,4.41,4.19,4.19,4.19,4.19
06-09-2016,4.41,4.19,4.19,4.19,4.19
06-10-2016,4.19,4.00,4.00,3.99,3.99
06-13-2016,4.19,4.00,4.00,3.99,3.99
06-14-2016,4.19,4.00,4.00,3.99,3.99
06-15-2016,3.99,4.18,4.18,4.18,4.18
06-16-2016,3.99,4.18,4.18,4.18,4.18
06-17-2016,4.18,4.00,4.00,4.00,4.00
06-19-2016,4.18,4.00,4.00,4.00,4.00
06-21-2016,4.18,4.00,4.00,4.00,4.00
06-22-2016,4.00,4.20,4.20,4.20,4.20
06-23-2016,4.00,4.20,4.20,4.20,4.20
06-24-2016,4.00,4.20,4.20,4.20,4.20
06-27-2016,4.00,4.20,4.20,4.20,4.20
06-28-2016,4.00,4.20,4.20,4.20,4.20
06-29-2016,4.00,4.20,4.20,4.20,4.20
06-30-2016,4.00,4.20,4.20,4.20,4.20
07-01-2016,4.00,4.20,4.20,4.20,4.20
07-05-2016,4.00,4.20,4.20,4.20,4.20
07-05-2016,4.20,4.00,4.00,4.00,4.00
07-07-2016,4.20,4.00,4.00,4.00,4.00
07-08-2016,4.20,4.00,4.00,4.00,4.00
07-11-2016,4.20,4.00,4.00,4.00,4.00
07-12-2016,4.20,4.00,4.00,4.00,4.00
