Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,40.25,40.75,40.90,40.00,40.15
05-19-2016,40.15,40.30,42.00,40.00,40.80
05-19-2016,40.80,40.70,41.50,40.30,40.60
05-20-2016,40.60,40.70,41.55,40.10,40.70
05-23-2016,40.70,41.00,41.00,40.00,40.30
05-24-2016,40.30,40.20,40.55,39.05,39.30
05-25-2016,39.30,39.80,40.00,39.00,39.65
05-26-2016,39.65,39.70,40.60,39.50,40.40
05-27-2016,40.40,40.80,40.80,40.10,40.30
05-30-2016,40.30,40.60,41.50,40.25,40.55
05-31-2016,40.55,42.00,42.85,40.00,40.45
06-01-2016,40.45,40.80,47.30,40.20,46.00
06-02-2016,46.00,45.95,47.30,45.00,46.15
06-04-2016,46.15,46.10,47.40,44.25,45.05
06-06-2016,45.05,45.45,46.15,44.35,44.90
06-07-2016,44.90,45.25,45.85,44.70,44.85
06-08-2016,44.85,45.10,47.90,44.90,47.65
06-09-2016,47.65,48.25,51.30,48.10,50.30
06-10-2016,50.30,50.00,50.80,48.50,48.80
06-13-2016,48.80,48.25,49.60,47.20,48.85
06-14-2016,48.85,49.30,51.00,49.00,50.20
06-15-2016,50.20,50.25,52.20,50.15,50.80
06-16-2016,50.80,50.50,51.75,49.50,50.50
06-17-2016,50.50,50.80,51.25,50.05,50.90
06-19-2016,50.90,50.50,53.75,50.40,53.00
06-21-2016,53.00,53.00,55.60,53.00,54.65
06-22-2016,54.65,55.00,55.25,52.05,52.50
06-23-2016,52.50,53.15,53.15,51.25,51.95
06-24-2016,51.95,50.00,51.20,46.75,50.25
06-27-2016,50.25,50.00,52.90,50.00,52.50
06-28-2016,52.50,52.45,53.95,52.45,53.35
06-29-2016,53.35,53.30,54.90,53.30,53.80
06-30-2016,53.80,54.00,54.50,53.00,53.30
07-01-2016,53.30,53.75,54.50,53.35,53.85
07-05-2016,53.85,54.90,56.30,54.90,55.25
07-05-2016,55.25,55.45,56.90,54.25,55.40
07-07-2016,55.40,55.80,56.20,54.10,54.60
07-08-2016,54.60,54.40,54.75,53.25,53.75
07-11-2016,53.75,54.60,55.30,53.90,54.25
07-12-2016,54.25,54.55,56.50,54.05,55.65
