Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.79,7.70,7.70,7.70,7.70
05-19-2016,7.79,7.70,7.70,7.70,7.70
05-20-2016,7.79,7.70,7.70,7.70,7.70
05-21-2016,7.79,7.70,7.70,7.70,7.70
05-23-2016,7.79,7.70,7.70,7.70,7.70
05-24-2016,7.79,7.70,7.70,7.70,7.70
05-25-2016,7.79,7.70,7.70,7.70,7.70
05-26-2016,7.79,7.70,7.70,7.70,7.70
05-27-2016,7.79,7.70,7.70,7.70,7.70
05-30-2016,7.79,7.70,7.70,7.70,7.70
05-31-2016,7.79,7.70,7.70,7.70,7.70
06-01-2016,7.79,7.70,7.70,7.70,7.70
06-02-2016,7.79,7.70,7.70,7.70,7.70
06-04-2016,7.79,7.70,7.70,7.70,7.70
06-06-2016,7.79,7.70,7.70,7.70,7.70
06-07-2016,7.79,7.70,7.70,7.70,7.70
06-08-2016,7.79,7.70,7.70,7.70,7.70
06-09-2016,7.70,7.70,7.70,7.70,7.70
06-10-2016,7.70,7.70,7.70,7.70,7.70
06-13-2016,7.70,7.32,7.75,7.32,7.72
06-14-2016,7.70,7.32,7.75,7.32,7.72
06-15-2016,7.72,7.69,7.69,7.34,7.34
06-16-2016,7.34,6.98,6.98,6.98,6.98
06-17-2016,6.98,6.64,6.64,6.64,6.64
06-19-2016,6.98,6.64,6.64,6.64,6.64
06-21-2016,6.64,6.31,6.31,6.31,6.31
06-22-2016,6.31,6.00,6.62,6.00,6.36
06-23-2016,6.36,6.05,6.67,6.05,6.05
06-24-2016,6.05,5.75,5.75,5.75,5.75
06-27-2016,5.75,5.48,5.54,5.47,5.47
06-28-2016,5.47,5.67,5.67,5.39,5.39
06-29-2016,5.39,5.39,5.41,5.39,5.39
06-30-2016,5.39,5.39,5.41,5.39,5.39
07-01-2016,5.39,5.64,5.65,5.13,5.35
07-05-2016,5.35,5.09,5.61,5.09,5.36
07-05-2016,5.36,5.40,5.58,5.10,5.32
07-08-2016,5.32,5.12,5.55,5.12,5.26
07-08-2016,5.26,5.03,5.50,5.02,5.50
07-11-2016,5.50,5.74,5.74,5.23,5.24
07-12-2016,5.24,4.99,5.35,4.99,4.99
