Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.80,4.80,4.95,4.80,4.95
05-19-2016,4.95,5.19,5.19,5.19,5.19
05-20-2016,5.19,4.94,4.94,4.94,4.94
05-21-2016,5.19,4.94,4.94,4.94,4.94
05-23-2016,5.19,4.94,4.94,4.94,4.94
05-24-2016,5.19,4.94,4.94,4.94,4.94
05-25-2016,5.19,4.94,4.94,4.94,4.94
05-26-2016,5.19,4.94,4.94,4.94,4.94
05-27-2016,5.19,4.94,4.94,4.94,4.94
05-30-2016,5.19,4.94,4.94,4.94,4.94
05-31-2016,5.19,4.94,4.94,4.94,4.94
06-01-2016,5.19,4.94,4.94,4.94,4.94
06-02-2016,5.19,4.94,4.94,4.94,4.94
06-04-2016,5.19,4.94,4.94,4.94,4.94
06-06-2016,4.94,5.16,5.16,5.16,5.16
06-07-2016,5.16,5.40,5.40,5.40,5.40
06-08-2016,5.16,5.40,5.40,5.40,5.40
06-09-2016,5.16,5.40,5.40,5.40,5.40
06-10-2016,5.16,5.40,5.40,5.40,5.40
06-13-2016,5.16,5.40,5.40,5.40,5.40
06-14-2016,5.16,5.40,5.40,5.40,5.40
06-15-2016,5.16,5.40,5.40,5.40,5.40
06-16-2016,5.16,5.40,5.40,5.40,5.40
06-17-2016,5.16,5.40,5.40,5.40,5.40
06-19-2016,5.16,5.40,5.40,5.40,5.40
06-21-2016,5.16,5.40,5.40,5.40,5.40
06-22-2016,5.16,5.40,5.40,5.40,5.40
06-23-2016,5.16,5.40,5.40,5.40,5.40
06-24-2016,5.40,5.67,5.67,5.67,5.67
06-27-2016,5.40,5.67,5.67,5.67,5.67
06-28-2016,5.67,5.95,5.95,5.95,5.95
06-29-2016,5.67,5.95,5.95,5.95,5.95
06-30-2016,5.67,5.95,5.95,5.95,5.95
07-01-2016,5.95,6.22,6.22,6.22,6.22
07-05-2016,5.95,6.22,6.22,6.22,6.22
07-05-2016,5.95,6.22,6.22,6.22,6.22
07-08-2016,5.95,6.22,6.22,6.22,6.22
07-08-2016,5.95,6.22,6.22,6.22,6.22
07-11-2016,6.22,5.91,5.91,5.91,5.91
07-12-2016,5.91,5.62,5.62,5.62,5.62
