Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,241.55,244.20,244.25,239.50,239.85
05-19-2016,239.85,240.50,240.50,238.00,238.70
05-19-2016,238.70,242.05,242.05,236.00,237.75
05-20-2016,237.75,239.00,239.00,226.50,234.15
05-23-2016,234.15,238.00,238.50,229.90,231.30
05-24-2016,231.30,234.00,236.00,212.55,224.15
05-25-2016,224.15,226.00,244.50,226.00,229.95
05-26-2016,229.95,232.75,237.00,229.10,234.50
05-27-2016,234.50,234.95,239.60,232.40,235.45
05-30-2016,235.45,236.00,238.95,232.95,237.45
05-31-2016,237.45,238.50,248.05,230.10,243.80
06-01-2016,243.80,244.00,249.95,244.00,247.85
06-02-2016,247.85,247.85,250.00,238.10,240.70
06-04-2016,240.70,243.85,264.00,241.50,243.75
06-06-2016,243.75,243.00,245.00,239.00,239.00
06-07-2016,239.95,238.70,240.00,235.80,239.50
06-08-2016,239.50,240.10,242.30,237.05,239.65
06-09-2016,239.65,239.00,240.00,236.10,237.90
06-10-2016,237.90,239.75,240.30,237.00,237.90
06-13-2016,237.90,236.05,237.60,230.10,234.05
06-14-2016,234.05,237.90,239.90,233.50,234.55
06-15-2016,234.55,238.00,238.00,233.35,235.15
06-16-2016,235.15,235.00,235.00,229.55,231.20
06-17-2016,231.20,233.55,235.25,227.20,229.95
06-19-2016,229.95,229.80,231.00,225.00,225.20
06-21-2016,225.20,225.25,230.00,222.30,223.00
06-22-2016,223.00,225.00,225.00,222.25,223.90
06-23-2016,223.90,225.00,225.00,217.00,218.10
06-24-2016,218.10,215.00,215.00,202.50,211.30
06-27-2016,211.30,214.50,218.65,210.00,216.15
06-28-2016,216.15,219.00,219.00,214.60,215.75
06-29-2016,215.75,219.45,225.50,216.00,223.90
06-30-2016,223.90,226.60,228.00,220.05,222.55
07-01-2016,222.55,224.95,226.30,218.80,220.40
07-05-2016,220.40,221.00,224.50,219.50,223.10
07-05-2016,223.10,222.00,249.00,220.75,242.45
07-07-2016,242.45,248.90,256.65,231.00,234.70
07-08-2016,234.70,235.50,235.50,227.45,230.40
07-11-2016,230.40,234.00,235.00,229.50,230.75
07-12-2016,230.75,230.80,238.50,222.35,237.25
