Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,276.90,280.00,287.00,279.00,284.60
05-19-2016,284.60,282.00,282.90,277.00,281.00
05-19-2016,281.00,277.50,282.50,270.00,272.40
05-20-2016,272.40,277.00,278.00,268.50,270.20
05-23-2016,270.20,272.00,275.00,264.00,268.70
05-24-2016,268.70,262.00,271.00,259.30,264.05
05-25-2016,264.05,264.00,267.95,261.00,261.40
05-26-2016,261.40,264.00,274.00,264.00,272.30
05-27-2016,272.30,272.00,272.50,267.50,271.00
05-30-2016,271.00,271.05,271.05,261.00,268.85
05-31-2016,268.85,269.00,278.50,266.00,276.10
06-01-2016,276.10,276.35,284.50,275.00,276.35
06-02-2016,276.35,276.25,279.95,270.00,273.20
06-04-2016,273.20,273.00,284.50,273.00,280.20
06-06-2016,280.20,278.50,280.00,265.00,265.00
06-07-2016,269.95,273.10,277.00,270.00,272.50
06-08-2016,272.50,270.00,276.00,262.00,267.20
06-09-2016,267.20,267.00,269.90,267.00,267.00
06-10-2016,267.00,266.10,266.10,261.00,261.50
06-13-2016,261.50,258.00,262.00,250.00,252.40
06-14-2016,252.40,250.00,250.00,246.50,248.90
06-15-2016,248.90,254.25,254.95,246.00,248.25
06-16-2016,248.25,246.10,246.20,237.10,240.45
06-17-2016,240.45,241.15,251.00,241.15,245.85
06-19-2016,245.85,244.40,251.00,244.40,247.70
06-21-2016,247.70,245.10,252.50,244.00,245.20
06-22-2016,245.20,247.05,249.00,241.50,243.30
06-23-2016,243.30,242.00,247.50,237.85,240.45
06-24-2016,240.45,235.30,235.30,219.05,226.20
06-27-2016,226.20,227.00,233.95,226.55,229.35
06-28-2016,229.35,232.15,238.30,232.15,235.20
06-29-2016,235.20,238.00,264.00,235.00,253.25
06-30-2016,253.25,256.00,266.80,254.40,264.40
07-01-2016,264.40,258.60,263.50,252.05,253.30
07-05-2016,253.30,254.45,254.45,249.00,250.80
07-05-2016,250.80,250.10,250.20,240.30,242.55
07-07-2016,242.55,245.65,246.00,237.30,239.85
07-08-2016,239.85,238.35,243.90,238.35,242.25
07-11-2016,242.25,245.50,255.00,244.30,252.00
07-12-2016,252.00,254.00,254.30,241.00,243.60
