Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,630.00,630.00,640.00,602.25,614.00
05-19-2016,614.00,551.00,646.00,551.00,609.00
05-20-2016,609.00,649.00,649.00,611.00,611.00
05-20-2016,611.00,608.00,608.00,608.00,608.00
05-23-2016,608.00,580.00,599.00,578.00,599.00
05-24-2016,599.00,600.00,600.00,582.00,582.00
05-25-2016,582.00,609.00,611.10,600.00,611.10
05-26-2016,611.10,611.10,611.10,601.10,601.10
05-27-2016,601.10,601.25,601.50,601.10,601.10
05-30-2016,601.10,601.25,601.50,601.10,601.10
05-31-2016,601.10,601.25,601.50,601.10,601.10
06-01-2016,601.10,601.10,602.00,601.10,601.10
06-02-2016,601.10,572.00,595.00,572.00,595.00
06-04-2016,595.00,570.00,590.00,565.30,590.00
06-06-2016,595.00,570.00,590.00,565.30,590.00
06-07-2016,590.00,560.50,600.00,560.50,600.00
06-08-2016,590.00,560.50,600.00,560.50,600.00
06-09-2016,600.00,630.00,630.00,625.00,627.00
06-10-2016,627.00,600.25,600.25,600.25,600.25
06-13-2016,600.25,575.00,575.00,575.00,575.00
06-14-2016,575.00,590.00,603.75,590.00,603.50
06-15-2016,603.50,591.00,611.00,591.00,611.00
06-16-2016,611.00,600.00,600.00,600.00,600.00
06-17-2016,611.00,600.00,600.00,600.00,600.00
06-19-2016,611.00,600.00,600.00,600.00,600.00
06-21-2016,600.00,605.00,630.00,605.00,630.00
06-22-2016,630.00,630.00,630.00,630.00,630.00
06-23-2016,630.00,630.00,630.00,630.00,630.00
06-24-2016,630.00,625.00,628.00,625.00,628.00
06-27-2016,628.00,603.00,603.00,603.00,603.00
06-28-2016,603.00,580.00,610.00,572.90,610.00
06-29-2016,610.00,630.00,630.00,630.00,630.00
06-30-2016,630.00,599.50,620.00,599.50,620.00
07-01-2016,620.00,589.00,589.00,589.00,589.00
07-05-2016,589.00,618.45,618.45,618.00,618.00
07-05-2016,618.00,618.00,648.00,618.00,643.00
07-07-2016,643.00,640.90,641.00,612.00,641.00
07-08-2016,641.00,610.85,610.85,609.00,609.00
07-11-2016,609.00,639.45,639.45,609.10,609.10
07-12-2016,609.10,639.00,639.55,610.00,639.10
