Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,30.50,30.85,31.70,29.85,31.00
05-19-2016,31.00,30.60,31.70,30.25,31.55
05-20-2016,31.55,31.50,32.50,31.10,31.75
05-20-2016,31.75,31.35,31.35,30.80,31.10
05-23-2016,31.10,31.50,31.50,31.15,31.45
05-24-2016,31.45,31.70,31.90,31.10,31.15
05-25-2016,31.15,31.70,31.70,31.00,31.40
05-26-2016,31.40,31.20,31.25,31.00,31.00
05-27-2016,31.00,31.45,31.50,30.25,30.40
05-30-2016,30.40,30.50,31.60,30.50,31.15
05-31-2016,31.15,31.10,33.45,30.55,32.50
06-01-2016,32.50,33.00,33.00,32.10,32.45
06-02-2016,32.45,32.80,32.85,32.05,32.15
06-04-2016,32.15,31.75,32.15,31.75,32.10
06-06-2016,32.10,31.65,31.75,31.65,31.75
06-07-2016,31.75,31.75,32.15,31.75,32.15
06-08-2016,32.15,31.70,32.20,31.70,31.80
06-09-2016,31.80,31.75,31.80,31.50,31.50
06-10-2016,31.50,31.50,31.90,31.50,31.50
06-13-2016,31.50,31.10,31.50,30.60,31.30
06-14-2016,31.30,31.50,31.50,31.10,31.10
06-15-2016,31.10,31.45,31.70,31.10,31.45
06-16-2016,31.45,31.50,31.50,30.25,30.65
06-17-2016,30.65,31.75,31.75,31.00,31.15
06-19-2016,31.15,31.00,32.10,31.00,32.00
06-21-2016,32.00,31.75,33.00,31.75,32.80
06-22-2016,32.80,32.10,32.10,32.05,32.05
06-23-2016,32.05,32.70,32.70,31.75,31.90
06-24-2016,31.90,31.50,33.30,31.50,32.60
06-27-2016,32.60,31.25,31.25,31.25,31.25
06-28-2016,31.25,31.30,31.30,30.10,30.75
06-29-2016,30.75,30.60,30.60,30.60,30.60
06-30-2016,30.60,31.20,31.90,30.80,30.90
07-01-2016,30.90,31.40,32.35,30.90,31.25
07-05-2016,31.25,31.90,32.00,31.90,32.00
07-05-2016,32.00,32.80,32.80,31.00,31.00
07-08-2016,31.00,31.70,31.70,31.70,31.70
07-08-2016,31.70,31.10,31.50,31.05,31.50
07-11-2016,31.50,31.10,32.95,30.70,32.70
07-12-2016,32.70,32.00,32.00,31.55,31.85
