Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,14.64,15.33,15.37,15.00,15.36
05-19-2016,15.36,15.99,15.99,15.45,15.59
05-20-2016,15.59,15.50,15.90,14.82,15.01
05-20-2016,15.01,15.10,15.40,14.75,14.75
05-23-2016,14.75,15.10,15.39,14.40,14.59
05-24-2016,14.59,14.75,15.31,14.30,15.31
05-25-2016,15.31,15.99,16.07,15.70,16.07
05-26-2016,16.07,16.87,16.87,15.90,16.87
05-27-2016,16.87,17.35,17.71,17.10,17.71
05-30-2016,17.71,18.28,18.59,16.83,18.53
05-31-2016,18.53,18.95,18.96,17.61,18.05
06-01-2016,18.05,18.90,18.95,17.65,18.55
06-02-2016,18.55,19.30,19.45,17.90,19.45
06-04-2016,19.45,19.50,20.40,18.50,18.95
06-06-2016,18.95,19.80,19.80,18.40,18.75
06-07-2016,18.75,17.85,17.85,17.85,17.85
06-08-2016,17.85,17.00,18.70,17.00,18.65
06-09-2016,18.65,19.50,19.55,18.65,19.00
06-10-2016,19.00,19.75,19.75,18.50,18.50
06-13-2016,18.50,18.70,18.70,17.60,17.85
06-14-2016,17.85,18.10,18.50,17.80,17.80
06-15-2016,17.80,18.60,18.65,18.00,18.60
06-16-2016,18.60,18.80,18.80,17.70,18.20
06-17-2016,18.20,18.20,19.10,17.30,18.75
06-19-2016,18.75,18.80,19.40,18.70,19.10
06-21-2016,19.10,19.95,20.00,18.45,18.55
06-22-2016,18.55,19.00,19.00,18.20,18.45
06-23-2016,18.45,18.80,18.95,18.50,18.75
06-24-2016,18.75,18.50,18.80,17.85,17.85
06-27-2016,17.85,18.55,18.70,17.90,18.70
06-28-2016,18.70,19.60,19.60,19.20,19.20
06-29-2016,19.20,20.15,20.15,19.40,19.40
06-30-2016,19.40,20.30,20.30,19.40,19.40
07-01-2016,19.40,19.50,20.25,19.50,20.25
07-05-2016,20.25,21.25,21.25,21.00,21.25
07-05-2016,21.25,22.30,22.30,22.00,22.30
07-08-2016,22.30,23.15,23.40,22.85,23.00
07-08-2016,23.00,23.10,23.70,22.60,22.80
07-11-2016,22.80,23.40,23.90,23.30,23.85
07-12-2016,23.85,25.00,25.00,23.30,24.95
