Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,199.10,197.90,198.50,173.00,183.40
05-19-2016,183.40,183.10,195.30,176.00,183.30
05-20-2016,183.30,173.00,183.40,173.00,181.60
05-21-2016,183.30,173.00,183.40,173.00,181.60
05-23-2016,181.60,210.00,213.00,175.10,189.95
05-24-2016,189.95,190.00,199.00,185.35,190.00
05-25-2016,190.00,190.00,194.85,185.20,194.00
05-26-2016,194.00,195.00,201.00,183.60,193.45
05-27-2016,193.45,189.05,189.05,178.10,179.85
05-30-2016,179.85,179.00,181.00,167.50,172.20
05-31-2016,172.20,170.00,175.00,170.00,171.00
06-01-2016,171.00,162.00,187.00,162.00,171.60
06-02-2016,171.60,170.00,183.00,170.00,176.15
06-04-2016,176.15,173.00,196.40,173.00,177.20
06-06-2016,177.20,184.00,184.00,180.00,180.00
06-07-2016,180.00,196.50,196.50,166.40,189.00
06-08-2016,189.00,188.00,190.00,188.00,190.00
06-09-2016,190.00,195.00,195.00,185.05,186.70
06-10-2016,186.70,156.00,197.00,156.00,175.00
06-13-2016,175.00,168.00,183.00,167.15,176.00
06-14-2016,176.00,166.00,188.50,166.00,177.60
06-15-2016,177.60,169.00,193.00,165.50,170.30
06-16-2016,170.30,187.00,187.00,168.10,169.60
06-17-2016,169.60,165.00,183.00,165.00,178.50
06-19-2016,178.50,188.00,188.00,170.00,179.00
06-21-2016,179.00,187.00,187.00,167.05,170.85
06-22-2016,170.85,167.00,184.00,165.00,166.60
06-23-2016,166.60,166.00,178.00,165.80,166.65
06-24-2016,166.65,164.00,173.95,163.15,168.90
06-27-2016,168.90,170.00,179.90,170.00,175.45
06-28-2016,175.45,166.00,184.00,166.00,172.50
06-29-2016,172.50,170.00,183.00,170.00,172.00
06-30-2016,172.00,177.00,177.00,172.00,174.90
07-01-2016,174.90,172.00,188.00,172.00,186.00
07-05-2016,186.00,178.15,197.80,178.15,194.65
07-05-2016,194.65,185.30,197.00,184.30,184.55
07-08-2016,184.55,185.00,196.00,185.00,187.20
07-08-2016,187.20,176.00,193.95,176.00,184.85
07-11-2016,184.85,201.00,201.00,177.50,182.00
07-12-2016,182.00,179.05,194.00,179.05,192.00
