Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,16.15,15.90,15.90,15.90,15.90

06-08-2016,16.15,15.90,15.90,15.90,15.90
06-09-2016,15.90,15.75,15.75,15.65,15.70
06-10-2016,15.90,15.75,15.75,15.65,15.70
06-13-2016,15.70,16.10,16.10,16.00,16.00
06-14-2016,15.70,16.10,16.10,16.00,16.00
06-15-2016,16.00,16.00,16.00,16.00,16.00
06-16-2016,16.00,15.55,16.90,15.55,16.90
06-17-2016,16.00,15.55,16.90,15.55,16.90
06-19-2016,16.00,15.55,16.90,15.55,16.90
06-21-2016,16.00,15.55,16.90,15.55,16.90
06-22-2016,16.90,15.85,15.85,15.85,15.85
06-23-2016,15.85,15.60,16.85,15.60,16.85
06-24-2016,16.85,17.00,17.00,17.00,17.00
06-27-2016,17.00,16.00,16.50,15.80,15.95
06-28-2016,15.95,16.05,16.05,16.05,16.05
06-29-2016,16.05,16.05,17.40,16.05,16.15
06-30-2016,16.15,16.25,16.25,16.25,16.25
07-01-2016,16.25,16.45,16.85,16.45,16.85
07-05-2016,16.85,15.85,17.95,15.85,17.45
07-05-2016,17.45,20.90,20.90,17.00,18.00
07-07-2016,18.00,19.60,19.60,17.20,18.70
07-08-2016,18.70,18.55,18.55,17.60,17.60
07-11-2016,18.70,18.55,18.55,17.60,17.60
07-12-2016,17.60,18.70,18.70,16.40,16.95
