Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,0.18,0.19,0.19,0.19,0.19

06-08-2016,0.19,0.18,0.20,0.18,0.20
06-09-2016,0.20,0.21,0.21,0.20,0.20
06-10-2016,0.20,0.20,0.21,0.20,0.21
06-13-2016,0.21,0.22,0.22,0.22,0.22
06-14-2016,0.22,0.23,0.23,0.21,0.23
06-15-2016,0.23,0.24,0.24,0.24,0.24
06-16-2016,0.24,0.25,0.25,0.25,0.25
06-17-2016,0.25,0.26,0.26,0.26,0.26
06-19-2016,0.26,0.26,0.27,0.26,0.27
06-21-2016,0.27,0.27,0.28,0.27,0.28
06-22-2016,0.28,0.29,0.29,0.28,0.28
06-23-2016,0.28,0.29,0.29,0.29,0.29
06-24-2016,0.29,0.30,0.30,0.30,0.30
06-27-2016,0.30,0.31,0.31,0.31,0.31
06-28-2016,0.31,0.32,0.32,0.32,0.32
06-29-2016,0.32,0.33,0.33,0.33,0.33
06-30-2016,0.33,0.34,0.34,0.32,0.32
07-01-2016,0.32,0.32,0.32,0.32,0.32
07-05-2016,0.32,0.32,0.32,0.31,0.31
07-05-2016,0.31,0.30,0.30,0.30,0.30
07-07-2016,0.30,0.29,0.31,0.29,0.31
07-08-2016,0.31,0.31,0.31,0.30,0.30
07-11-2016,0.30,0.29,0.29,0.29,0.29
07-12-2016,0.29,0.28,0.28,0.28,0.28
