Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,477.25,481.00,516.50,470.00,471.00
05-19-2016,471.00,487.00,506.00,460.00,469.25
05-20-2016,469.25,479.00,485.00,458.00,460.25
05-21-2016,460.25,458.00,490.00,455.00,483.50
05-23-2016,483.50,484.90,500.00,450.00,456.35
05-24-2016,456.35,456.90,465.00,450.00,451.40
05-25-2016,451.40,461.10,468.00,452.10,456.40
05-26-2016,456.40,460.00,469.00,450.00,465.45
05-27-2016,465.45,474.90,478.00,455.10,472.00
05-30-2016,472.00,465.00,477.00,455.00,468.00
05-31-2016,468.00,464.90,465.00,455.50,465.00
06-01-2016,465.00,465.00,469.00,460.00,461.80
06-02-2016,461.80,460.10,480.00,460.10,471.00
06-04-2016,471.00,475.00,480.00,468.00,470.00
06-06-2016,470.00,475.00,480.00,463.50,477.00
06-07-2016,476.55,488.50,488.50,480.00,484.20
06-08-2016,484.20,470.00,509.00,470.00,493.70
06-09-2016,493.70,506.90,507.00,490.00,502.10
06-10-2016,502.10,490.00,500.00,485.00,487.00
06-13-2016,487.00,470.10,519.00,470.00,504.80
06-14-2016,504.80,508.00,508.00,492.00,494.10
06-15-2016,494.10,513.00,513.00,485.60,503.00
06-16-2016,503.00,506.95,506.95,481.00,481.00
06-17-2016,481.00,504.90,504.90,485.00,500.00
06-19-2016,500.00,500.00,500.00,490.00,490.80
06-21-2016,490.80,490.00,493.00,490.00,491.25
06-22-2016,491.25,491.00,491.00,483.20,483.20
06-23-2016,483.20,494.80,496.95,480.00,482.15
06-24-2016,482.15,472.00,487.00,471.10,479.90
06-27-2016,479.90,480.00,490.00,480.00,490.00
06-28-2016,490.00,487.00,498.00,475.00,481.05
06-29-2016,481.05,482.00,494.00,480.05,489.80
06-30-2016,489.80,508.00,510.00,490.00,508.75
07-01-2016,508.75,500.00,521.00,500.00,514.45
07-05-2016,514.45,504.20,518.00,496.00,514.00
07-05-2016,514.00,519.95,519.95,497.00,497.15
07-08-2016,497.15,511.00,511.00,501.00,508.00
07-08-2016,508.00,509.00,509.00,490.50,507.00
07-11-2016,507.00,517.90,517.90,503.90,513.20
07-12-2016,513.20,519.00,532.00,513.00,518.00
