Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,442.85,445.20,449.00,441.60,443.10
05-19-2016,443.10,443.15,474.00,443.15,467.15
05-20-2016,467.15,471.50,481.50,460.85,470.10
05-21-2016,470.10,480.00,485.00,464.00,467.65
05-23-2016,467.65,471.95,472.00,455.65,458.35
05-24-2016,458.35,458.05,458.05,443.90,449.80
05-25-2016,449.80,453.00,458.50,450.00,450.35
05-26-2016,450.35,459.00,459.00,445.60,447.65
05-27-2016,447.65,452.15,458.95,450.05,457.60
05-30-2016,457.60,456.00,460.50,453.20,454.90
05-31-2016,454.90,454.40,459.00,452.00,453.90
06-01-2016,453.90,453.90,471.45,453.90,468.25
06-02-2016,468.25,469.45,489.50,465.70,473.00
06-04-2016,473.00,475.00,480.00,467.25,469.85
06-06-2016,469.85,465.40,479.00,464.00,473.65
06-07-2016,473.65,470.80,480.80,467.20,471.35
06-08-2016,471.35,473.10,478.60,470.80,474.30
06-09-2016,474.30,476.00,480.00,469.20,473.15
06-10-2016,473.15,475.60,478.15,463.95,464.90
06-13-2016,464.90,460.90,461.90,454.00,454.85
06-14-2016,454.85,459.05,473.00,459.05,465.55
06-15-2016,465.55,470.45,477.35,466.00,469.25
06-16-2016,469.25,470.00,474.00,467.00,467.65
06-17-2016,467.65,467.65,471.85,466.60,469.40
06-19-2016,469.40,465.00,469.20,464.50,467.05
06-21-2016,467.05,468.00,509.90,459.00,499.75
06-22-2016,499.75,512.00,515.95,478.00,482.75
06-23-2016,482.75,485.00,503.00,485.00,491.95
06-24-2016,491.95,477.00,484.50,457.25,480.50
06-27-2016,480.50,486.95,504.40,478.80,493.25
06-28-2016,493.25,495.00,504.00,495.00,497.55
06-29-2016,497.55,502.10,514.00,498.85,509.85
06-30-2016,509.85,515.00,531.95,511.85,527.20
07-01-2016,527.20,530.00,539.30,530.00,536.20
07-05-2016,536.20,537.00,543.20,530.00,536.10
07-05-2016,536.10,536.25,536.25,526.00,533.10
07-08-2016,533.10,538.95,542.80,532.00,535.20
07-08-2016,535.20,538.00,540.40,517.85,527.65
07-11-2016,527.65,534.30,534.70,528.00,529.85
07-12-2016,529.85,531.30,532.10,518.40,524.20
