Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.40,13.75,13.75,13.75,13.75
05-19-2016,13.40,13.75,13.75,13.75,13.75
05-20-2016,13.40,13.75,13.75,13.75,13.75
05-21-2016,13.40,13.75,13.75,13.75,13.75
05-23-2016,13.75,13.80,13.80,13.80,13.80
05-24-2016,13.75,13.80,13.80,13.80,13.80
05-25-2016,13.75,13.80,13.80,13.80,13.80
05-26-2016,13.75,13.80,13.80,13.80,13.80
05-27-2016,13.75,13.80,13.80,13.80,13.80
05-30-2016,13.75,13.80,13.80,13.80,13.80
05-31-2016,13.80,13.11,13.11,13.11,13.11
06-01-2016,13.80,13.11,13.11,13.11,13.11
06-02-2016,13.80,13.11,13.11,13.11,13.11
06-04-2016,13.80,13.11,13.11,13.11,13.11
06-06-2016,13.80,13.11,13.11,13.11,13.11
06-07-2016,13.80,13.11,13.11,13.11,13.11
06-08-2016,13.11,13.50,13.50,13.50,13.50
06-09-2016,13.50,13.80,13.80,13.50,13.50
06-10-2016,13.50,13.80,13.80,13.50,13.50
06-13-2016,13.50,13.80,13.80,13.50,13.50
06-14-2016,13.50,13.80,13.80,13.50,13.50
06-15-2016,13.50,13.80,13.80,13.50,13.50
06-16-2016,13.50,13.80,13.80,13.50,13.50
06-17-2016,13.50,13.80,13.80,13.50,13.50
06-19-2016,13.50,13.80,13.80,13.50,13.50
06-21-2016,13.50,13.80,13.80,13.50,13.50
06-22-2016,13.50,13.80,13.80,13.50,13.50
06-23-2016,13.50,13.80,13.80,13.50,13.50
06-24-2016,13.50,13.80,13.80,13.50,13.50
06-27-2016,13.50,13.80,13.80,13.50,13.50
06-28-2016,13.50,13.80,13.80,13.50,13.50
06-29-2016,13.50,13.80,13.80,13.50,13.50
06-30-2016,13.50,13.80,13.80,13.50,13.50
07-01-2016,13.50,13.80,13.80,13.50,13.50
07-05-2016,13.50,13.80,13.80,13.50,13.50
07-05-2016,13.50,13.50,13.50,13.50,13.50
07-08-2016,13.50,13.50,13.50,13.50,13.50
07-08-2016,13.50,13.50,13.50,13.50,13.50
07-11-2016,13.50,13.50,13.50,13.50,13.50
07-12-2016,13.50,12.83,12.83,12.83,12.83
