Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,92.45,89.60,92.00,89.50,89.55

06-08-2016,89.55,90.50,92.95,89.00,89.00
06-09-2016,89.00,85.35,91.95,85.35,91.50
06-10-2016,91.50,90.05,95.50,90.05,92.95
06-13-2016,92.95,93.00,93.95,90.00,90.00
06-14-2016,90.00,91.95,92.00,86.50,87.70
06-15-2016,87.70,88.00,90.00,87.00,87.05
06-16-2016,87.05,90.00,90.00,84.00,85.05
06-17-2016,85.05,86.00,89.30,85.05,85.45
06-19-2016,85.45,85.05,89.70,83.05,89.25
06-21-2016,89.25,93.50,93.50,84.80,89.15
06-22-2016,89.15,93.35,93.40,84.70,89.75
06-23-2016,89.75,86.05,88.95,85.30,87.20
06-24-2016,87.20,83.00,87.90,82.85,82.85
06-27-2016,82.85,80.00,86.65,80.00,86.65
06-28-2016,86.65,83.05,86.00,82.50,85.95
06-29-2016,85.95,89.15,89.15,82.50,85.50
06-30-2016,85.50,85.05,88.85,82.40,86.75
07-01-2016,86.75,84.00,85.65,82.45,83.50
07-05-2016,83.50,81.45,87.40,79.35,82.15
07-05-2016,82.15,81.00,83.40,80.00,82.30
07-08-2016,82.30,80.55,85.00,79.50,82.25
07-08-2016,82.25,80.05,80.25,78.25,79.20
07-11-2016,79.20,83.05,83.15,78.50,80.00
07-12-2016,79.55,82.00,83.25,79.20,80.00
