Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.23,4.42,4.42,4.42,4.42
05-19-2016,4.42,4.42,4.42,4.41,4.42
05-20-2016,4.42,4.42,4.42,4.41,4.42
05-20-2016,4.42,4.25,4.25,4.25,4.25
05-23-2016,4.25,4.30,4.34,4.05,4.05
05-24-2016,4.05,4.23,4.25,4.00,4.25
05-25-2016,4.05,4.23,4.25,4.00,4.25
05-26-2016,4.25,4.35,4.35,4.35,4.35
05-27-2016,4.35,4.42,4.42,4.42,4.42
05-30-2016,4.35,4.42,4.42,4.42,4.42
05-31-2016,4.42,4.25,4.25,4.25,4.25
06-01-2016,4.25,4.43,4.43,4.30,4.38
06-02-2016,4.38,4.38,4.58,4.17,4.34
06-04-2016,4.34,4.13,4.13,4.13,4.13
06-06-2016,4.13,3.93,4.30,3.93,4.30
06-07-2016,4.13,3.93,4.30,3.93,4.30
06-08-2016,4.30,4.10,4.30,4.09,4.30
06-09-2016,4.30,4.10,4.30,4.09,4.30
06-10-2016,4.30,4.09,4.09,4.09,4.09
06-13-2016,4.30,4.09,4.09,4.09,4.09
06-14-2016,4.09,3.89,3.89,3.89,3.89
06-15-2016,3.89,4.00,4.00,4.00,4.00
06-16-2016,3.89,4.00,4.00,4.00,4.00
06-17-2016,4.00,3.95,3.95,3.95,3.95
06-19-2016,3.95,3.92,3.92,3.92,3.92
06-21-2016,3.95,3.92,3.92,3.92,3.92
06-22-2016,3.95,3.92,3.92,3.92,3.92
06-23-2016,3.95,3.92,3.92,3.92,3.92
06-24-2016,3.95,3.92,3.92,3.92,3.92
06-27-2016,3.95,3.92,3.92,3.92,3.92
06-28-2016,3.92,3.76,3.77,3.76,3.77
06-29-2016,3.92,3.76,3.77,3.76,3.77
06-30-2016,3.92,3.76,3.77,3.76,3.77
07-01-2016,3.77,3.95,3.95,3.95,3.95
07-05-2016,3.77,3.95,3.95,3.95,3.95
07-05-2016,3.95,4.14,4.14,3.77,3.79
07-07-2016,3.95,4.14,4.14,3.77,3.79
07-08-2016,3.95,4.14,4.14,3.77,3.79
07-11-2016,3.79,3.75,3.75,3.75,3.75
07-12-2016,3.75,3.93,3.93,3.75,3.75
