Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,550.00,572.50,577.50,550.00,559.75
05-19-2016,559.75,578.00,578.00,560.00,560.00
05-20-2016,560.00,550.00,555.00,550.00,550.00
05-21-2016,550.00,555.00,577.50,524.50,542.00
05-23-2016,542.00,550.00,560.00,546.25,547.25
05-24-2016,547.25,550.00,560.00,550.00,550.00
05-25-2016,550.00,528.60,560.00,528.60,545.00
05-26-2016,545.00,550.00,568.70,545.00,545.55
05-27-2016,545.55,559.85,559.85,540.00,550.00
05-30-2016,550.00,577.50,577.50,533.85,543.00
05-31-2016,543.00,568.50,568.95,543.05,545.45
06-01-2016,545.45,546.05,554.00,525.00,534.75
06-02-2016,534.75,528.00,543.50,520.00,534.45
06-04-2016,534.45,530.00,536.90,515.00,524.85
06-06-2016,524.85,539.00,539.00,525.05,535.00
06-07-2016,535.00,511.00,561.75,511.00,561.75
06-08-2016,561.75,589.60,589.80,535.00,589.80
06-09-2016,589.80,590.20,619.25,590.20,603.85
06-10-2016,603.85,625.00,625.00,600.05,600.05
06-13-2016,600.05,575.20,610.00,575.00,582.25
06-14-2016,582.25,576.00,603.00,576.00,596.50
06-15-2016,596.50,590.00,626.30,590.00,626.30
06-16-2016,626.30,639.90,657.60,625.40,626.30
06-17-2016,626.30,617.30,644.00,617.30,640.60
06-19-2016,640.60,635.00,650.00,622.00,648.55
06-21-2016,648.55,630.05,644.75,625.00,625.05
06-22-2016,625.05,615.00,622.00,610.25,622.00
06-23-2016,622.00,625.00,645.00,620.00,622.05
06-24-2016,622.05,600.10,630.00,599.05,630.00
06-27-2016,630.00,615.05,639.95,615.00,629.65
06-28-2016,629.65,602.30,647.00,602.30,637.70
06-29-2016,637.70,629.00,635.00,624.00,630.20
06-30-2016,630.20,630.00,633.00,615.65,633.00
07-01-2016,633.00,633.00,640.00,620.00,637.40
07-05-2016,637.40,626.00,645.00,626.00,632.00
07-05-2016,632.00,624.05,647.55,624.05,635.00
07-08-2016,635.00,631.00,641.00,631.00,641.00
07-08-2016,641.00,630.05,636.00,630.00,635.00
07-11-2016,635.00,635.00,644.90,634.00,635.05
07-12-2016,635.05,640.00,650.00,640.00,642.35
