Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,116.50,116.95,117.00,114.40,115.00
05-19-2016,115.00,114.60,115.40,113.05,114.45
05-19-2016,114.45,114.20,115.25,111.35,112.05
05-20-2016,112.05,110.25,123.00,110.25,120.05
05-23-2016,120.05,121.60,123.90,118.65,120.80
05-24-2016,120.80,122.45,122.45,118.90,119.45
05-25-2016,119.45,120.80,123.25,120.30,122.05
05-26-2016,122.05,123.85,128.50,122.50,127.40
05-27-2016,127.40,128.05,129.35,126.05,127.45
05-30-2016,127.45,128.30,128.45,125.55,126.65
05-31-2016,126.65,127.10,129.25,125.60,128.60
06-01-2016,128.60,128.60,128.60,123.90,124.50
06-02-2016,124.50,125.50,126.90,123.70,126.55
06-04-2016,126.55,127.65,128.55,125.30,125.60
06-06-2016,125.60,126.00,135.60,125.75,135.00
06-07-2016,135.00,136.00,136.50,132.35,133.60
06-08-2016,133.60,134.80,135.75,132.20,134.00
06-09-2016,134.00,133.90,138.00,133.15,135.10
06-10-2016,135.10,134.50,136.90,132.30,132.90
06-13-2016,132.90,131.80,134.40,130.50,133.25
06-14-2016,133.25,135.90,135.90,133.40,134.95
06-15-2016,134.95,135.60,136.65,135.15,135.90
06-16-2016,135.90,135.50,136.70,133.30,135.05
06-17-2016,135.05,137.00,138.00,135.65,137.35
06-19-2016,137.35,135.10,138.45,135.10,137.50
06-21-2016,137.50,138.90,141.00,137.00,137.45
06-22-2016,137.45,139.15,139.15,134.80,135.35
06-23-2016,135.35,133.55,138.20,133.55,137.60
06-24-2016,137.60,134.50,134.90,129.20,134.50
06-27-2016,134.50,134.90,137.35,134.05,136.80
06-28-2016,136.80,137.90,138.50,136.50,137.80
06-29-2016,137.80,138.90,141.00,138.10,139.90
06-30-2016,139.90,141.85,142.45,139.75,141.20
07-01-2016,141.20,142.80,143.50,141.10,143.05
07-05-2016,143.05,143.85,148.50,143.50,147.00
07-05-2016,147.00,146.80,149.30,145.55,146.70
07-07-2016,146.70,148.95,150.60,146.80,147.40
07-08-2016,147.40,150.00,150.60,143.80,148.85
07-11-2016,148.85,150.00,152.00,150.00,151.75
07-12-2016,151.45,152.00,152.90,151.05,152.30
07-13-2016,152.30,152.00,152.05,148.80,150.00
