Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,8.25,8.50,8.50,7.84,7.84
05-19-2016,7.84,7.45,7.45,7.45,7.45
05-19-2016,7.84,7.45,7.45,7.45,7.45
05-20-2016,7.84,7.45,7.45,7.45,7.45
05-23-2016,7.84,7.45,7.45,7.45,7.45
05-24-2016,7.84,7.45,7.45,7.45,7.45
05-25-2016,7.84,7.45,7.45,7.45,7.45
05-26-2016,7.84,7.45,7.45,7.45,7.45
05-27-2016,7.84,7.45,7.45,7.45,7.45
05-30-2016,7.45,7.08,7.08,7.08,7.08
05-31-2016,7.08,7.43,7.43,7.43,7.43
06-01-2016,7.08,7.43,7.43,7.43,7.43
06-02-2016,7.08,7.43,7.43,7.43,7.43
06-04-2016,7.08,7.43,7.43,7.43,7.43
06-06-2016,7.08,7.43,7.43,7.43,7.43
06-07-2016,7.43,7.80,7.80,7.80,7.80
06-08-2016,7.80,7.41,7.41,7.41,7.41
06-09-2016,7.80,7.41,7.41,7.41,7.41
06-10-2016,7.41,7.78,7.78,7.78,7.78
06-13-2016,7.78,8.16,8.16,8.16,8.16
06-14-2016,8.16,8.56,8.56,8.56,8.56
06-15-2016,8.56,8.98,8.98,8.98,8.98
06-16-2016,8.98,9.32,9.33,9.32,9.33
06-17-2016,8.98,9.32,9.33,9.32,9.33
06-19-2016,9.33,9.78,9.79,9.78,9.79
06-21-2016,9.33,9.78,9.79,9.78,9.79
06-22-2016,9.79,9.31,10.00,9.31,10.00
06-23-2016,10.00,9.50,9.50,9.50,9.50
06-24-2016,9.50,9.03,9.03,9.03,9.03
06-27-2016,9.03,9.48,9.48,9.48,9.48
06-28-2016,9.48,9.01,9.95,9.01,9.95
06-29-2016,9.48,9.01,9.95,9.01,9.95
06-30-2016,9.95,9.46,10.10,9.46,10.10
07-01-2016,10.10,10.10,10.10,10.10,10.10
07-05-2016,10.10,9.60,9.60,9.60,9.60
07-05-2016,9.60,9.12,9.12,9.12,9.12
07-07-2016,9.12,8.67,8.67,8.67,8.67
07-08-2016,8.67,9.10,9.10,9.10,9.10
07-11-2016,9.10,8.66,8.66,8.66,8.66
07-12-2016,9.10,8.66,8.66,8.66,8.66
