Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3.14,3.19,3.19,3.11,3.18
05-19-2016,3.18,3.23,3.24,3.16,3.18
05-20-2016,3.18,3.20,3.24,3.15,3.22
05-21-2016,3.22,3.27,3.27,3.20,3.21
05-23-2016,3.21,3.26,3.26,3.26,3.26
05-24-2016,3.26,3.31,3.31,3.20,3.30
05-25-2016,3.30,3.31,3.36,3.24,3.35
05-26-2016,3.35,3.40,3.41,3.29,3.38
05-27-2016,3.38,3.42,3.44,3.40,3.42
05-30-2016,3.42,3.45,3.48,3.40,3.44
05-31-2016,3.44,3.44,3.44,3.40,3.40
06-01-2016,3.40,3.46,3.46,3.39,3.39
06-02-2016,3.39,3.40,3.40,3.40,3.40
06-04-2016,3.40,3.44,3.44,3.34,3.34
06-06-2016,3.34,3.38,3.40,3.33,3.40
06-07-2016,3.40,3.43,3.46,3.34,3.46
06-08-2016,3.46,3.48,3.51,3.46,3.47
06-09-2016,3.47,3.52,3.52,3.41,3.41
06-10-2016,3.41,3.46,3.46,3.43,3.43
06-13-2016,3.43,3.44,3.48,3.37,3.45
06-14-2016,3.45,3.48,3.50,3.45,3.45
06-15-2016,3.45,3.51,3.51,3.43,3.45
06-16-2016,3.45,3.49,3.49,3.48,3.49
06-17-2016,3.49,3.50,3.53,3.43,3.52
06-19-2016,3.52,3.52,3.57,3.48,3.55
06-21-2016,3.55,3.59,3.59,3.50,3.59
06-22-2016,3.59,3.65,3.65,3.55,3.64
06-23-2016,3.64,3.65,3.69,3.61,3.69
06-24-2016,3.69,3.69,3.69,3.62,3.67
06-27-2016,3.67,3.70,3.71,3.60,3.67
06-28-2016,3.67,3.71,3.73,3.68,3.72
06-29-2016,3.72,3.75,3.77,3.70,3.70
06-30-2016,3.70,3.77,3.77,3.70,3.70
07-01-2016,3.70,3.70,3.77,3.70,3.77
07-05-2016,3.77,3.77,3.77,3.70,3.70
07-05-2016,3.70,3.75,3.75,3.75,3.75
07-08-2016,3.75,3.82,3.82,3.82,3.82
07-08-2016,3.82,3.88,3.88,3.88,3.88
07-11-2016,3.88,3.95,3.95,3.89,3.94
07-12-2016,3.94,4.00,4.00,3.92,3.95
