Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,16.20,16.20,16.70,15.90,16.45
05-19-2016,16.45,16.90,16.90,16.30,16.45
05-20-2016,16.45,16.85,16.85,16.20,16.40
05-20-2016,16.40,16.35,16.60,15.60,15.85
05-23-2016,15.85,16.15,16.25,15.70,15.95
05-24-2016,15.95,16.00,16.10,15.20,15.55
05-25-2016,15.55,15.85,15.95,15.40,15.55
05-26-2016,15.55,15.60,18.15,15.50,17.60
05-27-2016,17.60,17.70,19.25,17.70,18.95
05-30-2016,18.95,20.25,20.45,17.85,18.35
05-31-2016,18.35,18.85,20.10,18.50,19.90
06-01-2016,19.90,20.30,20.30,19.00,19.15
06-02-2016,19.15,19.50,19.50,18.50,18.60
06-04-2016,18.60,18.60,18.60,17.50,17.80
06-06-2016,17.80,17.80,17.85,16.75,16.95
06-07-2016,16.90,17.00,17.00,16.45,16.60
06-08-2016,16.60,16.60,17.50,16.60,16.90
06-09-2016,16.90,17.00,17.35,16.85,16.90
06-10-2016,16.90,17.20,17.20,16.35,16.55
06-13-2016,16.55,16.50,16.60,15.70,16.00
06-14-2016,16.00,16.20,17.50,16.05,16.90
06-15-2016,16.90,17.30,17.30,16.10,16.25
06-16-2016,16.25,16.60,16.60,15.85,15.95
06-17-2016,15.95,16.25,16.30,15.85,15.90
06-19-2016,15.90,16.00,16.10,15.80,16.00
06-21-2016,16.00,16.65,16.65,15.50,15.70
06-22-2016,15.70,15.75,15.95,15.50,15.60
06-23-2016,15.60,15.85,15.85,15.25,15.40
06-24-2016,15.40,15.35,15.35,14.50,14.95
06-27-2016,14.95,15.00,15.15,14.50,14.80
06-28-2016,14.80,14.75,15.00,14.45,14.55
06-29-2016,14.55,14.95,15.15,14.55,14.85
06-30-2016,14.85,15.60,15.60,14.85,15.30
07-01-2016,15.30,15.45,16.20,15.25,15.60
07-05-2016,15.60,15.80,16.05,15.00,16.00
07-05-2016,16.00,16.00,16.05,15.35,15.60
07-08-2016,15.60,15.70,16.40,15.60,16.00
07-08-2016,16.00,16.05,16.15,15.60,15.90
07-11-2016,15.90,16.10,16.10,15.80,15.90
07-12-2016,15.90,16.05,16.15,15.60,15.75
