Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,245.00,251.00,251.00,251.00,251.00
05-19-2016,251.00,250.00,250.00,250.00,250.00
05-20-2016,250.00,249.00,249.00,249.00,249.00
05-20-2016,249.00,250.00,250.00,250.00,250.00
05-23-2016,250.00,240.00,240.00,240.00,240.00
05-24-2016,240.00,245.00,245.00,245.00,245.00
05-25-2016,245.00,250.00,250.00,250.00,250.00
05-26-2016,250.00,250.00,255.00,250.00,255.00
05-27-2016,255.00,265.00,265.00,265.00,265.00
05-30-2016,265.00,265.00,270.00,265.00,270.00
05-31-2016,270.00,275.00,275.00,275.00,275.00
06-01-2016,275.00,280.00,280.00,280.00,280.00
06-02-2016,280.00,285.00,285.00,285.00,285.00
06-04-2016,285.00,290.00,290.00,290.00,290.00
06-06-2016,290.00,295.00,295.00,295.00,295.00
06-07-2016,295.00,300.00,300.00,300.00,300.00
06-08-2016,300.00,310.00,310.00,310.00,310.00
06-09-2016,300.00,310.00,310.00,310.00,310.00
06-10-2016,310.00,300.00,300.00,300.00,300.00
06-13-2016,300.00,295.00,295.00,295.00,295.00
06-14-2016,300.00,295.00,295.00,295.00,295.00
06-15-2016,295.00,305.00,305.00,305.00,305.00
06-16-2016,305.00,300.00,300.00,300.00,300.00
06-17-2016,305.00,300.00,300.00,300.00,300.00
06-19-2016,305.00,300.00,300.00,300.00,300.00
06-21-2016,300.00,301.00,301.00,301.00,301.00
06-22-2016,300.00,301.00,301.00,301.00,301.00
06-23-2016,301.00,300.00,300.00,300.00,300.00
06-24-2016,300.00,295.00,295.00,295.00,295.00
06-27-2016,295.00,300.00,300.00,300.00,300.00
06-28-2016,300.00,305.00,305.00,305.00,305.00
06-29-2016,305.00,307.00,307.00,307.00,307.00
06-30-2016,307.00,310.00,310.00,310.00,310.00
07-01-2016,310.00,320.00,323.00,320.00,323.00
07-05-2016,323.00,308.00,308.00,308.00,308.00
07-05-2016,308.00,310.00,310.00,310.00,310.00
07-08-2016,310.00,310.00,320.00,310.00,320.00
07-08-2016,320.00,318.00,318.00,318.00,318.00
07-11-2016,318.00,323.00,323.00,323.00,323.00
07-12-2016,323.00,323.00,323.00,323.00,323.00
