Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,250.90,261.20,294.00,237.00,276.60
05-19-2016,276.60,279.70,288.90,274.00,281.50
05-20-2016,281.50,284.00,313.80,280.00,284.70
05-21-2016,284.70,287.20,295.00,268.70,271.20
05-23-2016,271.20,275.25,275.25,252.60,253.70
05-24-2016,253.70,250.10,261.00,239.10,252.80
05-25-2016,252.80,257.20,270.90,248.10,255.10
05-26-2016,255.10,251.10,256.60,243.10,246.65
05-27-2016,246.65,248.15,258.00,245.00,251.65
05-30-2016,251.65,268.50,268.50,251.10,265.45
05-31-2016,265.45,264.05,267.00,258.50,259.45
06-01-2016,259.45,254.05,261.00,252.15,254.65
06-02-2016,254.65,254.80,255.00,250.75,251.85
06-04-2016,251.85,261.50,261.50,244.25,249.25
06-06-2016,249.25,245.75,252.70,245.15,247.60
06-07-2016,247.60,248.10,257.50,243.20,249.95
06-08-2016,249.95,247.00,290.00,247.00,267.55
06-09-2016,267.55,270.80,276.35,261.10,261.85
06-10-2016,261.85,269.50,294.00,263.00,285.40
06-13-2016,285.40,280.00,286.00,269.50,278.05
06-14-2016,278.05,280.40,286.15,275.00,277.85
06-15-2016,277.85,278.60,284.40,271.50,276.25
06-16-2016,276.25,274.90,275.15,266.00,268.00
06-17-2016,268.00,269.95,273.95,263.50,264.70
06-19-2016,264.70,263.35,268.55,259.40,261.65
06-21-2016,261.65,265.00,266.70,259.95,261.50
06-22-2016,261.50,263.05,265.40,259.05,262.45
06-23-2016,262.45,266.95,270.00,262.80,263.40
06-24-2016,263.40,235.00,260.00,235.00,256.90
06-27-2016,256.90,258.65,267.95,255.10,258.10
06-28-2016,258.10,260.05,262.80,255.00,256.80
06-29-2016,256.80,264.85,268.90,258.30,262.40
06-30-2016,262.40,266.95,266.95,258.00,258.65
07-01-2016,258.65,258.95,282.00,258.50,268.50
07-05-2016,268.50,253.05,286.00,253.05,281.15
07-05-2016,281.15,282.30,288.40,274.30,278.50
07-08-2016,278.50,278.70,290.00,276.10,285.15
07-08-2016,285.15,282.45,285.00,276.00,282.60
07-11-2016,282.60,282.90,284.95,280.60,283.50
07-12-2016,283.30,284.10,310.00,280.05,304.15
