Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,164.20,179.90,180.00,175.00,175.00
05-19-2016,175.00,170.00,177.00,170.00,177.00
05-20-2016,177.00,170.00,170.00,163.10,167.20
05-21-2016,167.20,165.00,176.00,163.00,166.90
05-23-2016,166.90,176.00,176.00,170.00,173.50
05-24-2016,173.50,163.00,177.00,163.00,177.00
05-25-2016,173.50,163.00,177.00,163.00,177.00
05-26-2016,177.00,177.00,179.00,168.00,174.35
05-27-2016,174.35,182.00,182.00,171.00,173.85
05-30-2016,173.85,168.00,168.00,162.00,166.40
05-31-2016,166.40,177.00,183.00,164.00,173.20
06-01-2016,173.20,173.50,180.00,173.50,180.00
06-02-2016,173.20,173.50,180.00,173.50,180.00
06-04-2016,180.00,175.00,180.00,166.40,170.15
06-06-2016,170.15,170.00,170.50,170.00,170.50
06-07-2016,170.50,180.00,180.00,170.00,170.00
06-08-2016,170.00,170.05,170.05,170.00,170.00
06-09-2016,170.00,170.05,170.05,170.00,170.00
06-10-2016,170.00,170.05,170.05,170.00,170.00
06-13-2016,170.00,165.00,174.95,165.00,174.95
06-14-2016,174.95,166.25,168.00,165.00,165.00
06-15-2016,165.00,167.00,171.95,148.20,164.15
06-16-2016,164.15,164.00,164.00,155.00,156.50
06-17-2016,156.50,158.00,168.85,158.00,159.70
06-19-2016,159.70,153.05,157.90,150.05,154.75
06-21-2016,159.70,153.05,157.90,150.05,154.75
06-22-2016,154.75,159.00,160.00,150.20,153.00
06-23-2016,153.00,151.10,160.00,145.10,147.65
06-24-2016,147.65,145.10,155.00,145.10,154.00
06-27-2016,154.00,156.85,157.00,156.85,156.95
06-28-2016,156.95,157.00,163.00,157.00,162.75
06-29-2016,162.75,166.50,166.50,166.50,166.50
06-30-2016,162.75,166.50,166.50,166.50,166.50
07-01-2016,166.50,165.25,170.00,165.25,169.00
07-05-2016,169.00,185.00,185.00,156.50,159.15
07-05-2016,159.15,168.45,168.45,155.00,155.00
07-08-2016,155.00,155.10,162.00,155.10,161.85
07-08-2016,161.85,162.85,162.85,162.85,162.85
07-11-2016,161.85,162.85,162.85,162.85,162.85
07-12-2016,161.85,162.85,162.85,162.85,162.85
