Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.95,8.00,8.30,7.62,7.67
05-19-2016,7.67,8.48,8.48,7.75,8.39
05-20-2016,8.39,8.50,9.00,8.40,8.99
05-21-2016,8.99,9.99,9.99,8.38,9.20
05-23-2016,9.20,8.23,9.50,8.23,8.97
05-24-2016,8.97,8.25,8.90,8.25,8.89
05-25-2016,8.89,9.37,9.37,8.02,8.87
05-26-2016,8.87,9.40,9.40,8.12,8.41
05-27-2016,8.41,8.41,8.59,7.40,8.29
05-30-2016,8.29,8.60,8.60,8.00,8.10
05-31-2016,8.10,8.10,8.84,7.84,8.84
06-01-2016,8.84,8.84,8.84,7.91,8.25
06-02-2016,8.25,7.66,7.98,7.66,7.80
06-04-2016,7.80,7.53,8.45,7.53,8.45
06-06-2016,8.45,7.73,8.10,7.60,7.60
06-07-2016,7.63,7.61,8.00,7.50,7.51
06-08-2016,7.51,7.50,7.50,7.11,7.49
06-09-2016,7.49,7.48,7.84,7.11,7.69
06-10-2016,7.69,7.50,7.50,7.48,7.50
06-13-2016,7.50,7.12,7.26,7.12,7.26
06-14-2016,7.26,7.50,7.50,7.50,7.50
06-15-2016,7.50,7.13,7.90,7.13,7.50
06-16-2016,7.50,7.20,7.88,7.20,7.49
06-17-2016,7.49,7.88,7.88,7.40,7.65
06-19-2016,7.65,8.40,8.40,7.41,7.51
06-21-2016,7.51,7.30,9.01,7.30,9.01
06-22-2016,9.01,10.00,10.30,9.46,9.70
06-23-2016,9.70,9.50,9.50,8.48,8.55
06-24-2016,8.55,8.05,8.49,8.00,8.49
06-27-2016,8.49,7.93,8.80,7.93,8.13
06-28-2016,8.13,8.20,8.20,8.20,8.20
06-29-2016,8.20,8.25,9.18,8.25,9.15
06-30-2016,9.15,8.70,9.00,8.70,9.00
07-01-2016,9.00,8.40,8.62,8.40,8.62
07-05-2016,8.62,8.38,8.42,8.38,8.42
07-05-2016,8.42,8.85,8.85,8.30,8.64
07-08-2016,8.64,8.50,10.30,8.20,9.04
07-08-2016,9.04,8.51,8.90,8.51,8.90
07-11-2016,8.90,9.93,9.93,7.86,8.60
07-12-2016,8.60,8.54,9.00,8.30,8.40
