Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,59.40,58.00,62.00,57.95,60.25
05-19-2016,60.25,61.75,61.75,60.10,60.15
05-19-2016,60.15,62.00,62.00,58.00,58.15
05-20-2016,58.15,58.15,63.95,58.00,63.95
05-23-2016,63.95,60.95,64.00,60.85,61.35
05-24-2016,61.35,62.00,62.10,62.00,62.10
05-25-2016,62.10,63.90,63.90,60.15,60.50
05-26-2016,60.50,62.00,62.00,62.00,62.00
05-27-2016,62.00,61.30,62.10,61.30,62.10
05-30-2016,62.10,62.00,62.10,62.00,62.10
05-31-2016,62.10,59.70,59.70,59.70,59.70
06-01-2016,59.70,60.00,60.00,60.00,60.00
06-02-2016,60.00,58.15,58.15,58.15,58.15
06-04-2016,58.15,59.00,59.00,59.00,59.00
06-06-2016,59.00,57.05,61.95,57.05,59.00
06-07-2016,59.00,61.95,61.95,56.05,57.00
06-08-2016,57.00,59.50,59.50,55.00,56.00
06-09-2016,56.00,58.50,58.80,58.50,58.80
06-10-2016,58.80,61.00,61.70,60.00,61.70
06-13-2016,61.70,60.00,64.75,58.70,64.05
06-14-2016,64.05,62.50,64.90,61.10,62.85
06-15-2016,62.85,62.00,62.00,59.75,60.70
06-16-2016,60.70,59.00,61.70,57.70,57.95
06-17-2016,57.95,58.00,58.00,56.10,56.20
06-19-2016,56.20,55.00,55.00,53.40,53.40
06-21-2016,53.40,54.00,54.00,51.05,53.45
06-22-2016,53.45,52.50,56.10,52.50,53.05
06-23-2016,53.05,53.00,55.70,51.70,55.35
06-24-2016,55.35,53.00,58.10,52.60,52.60
06-27-2016,52.60,53.50,55.20,52.25,54.80
06-28-2016,54.80,57.50,57.50,54.50,56.10
06-29-2016,56.10,53.30,58.90,53.30,53.30
06-30-2016,53.30,51.00,51.00,50.65,50.65
07-01-2016,50.65,48.15,53.00,48.15,50.15
07-05-2016,50.15,52.65,52.65,47.85,47.85
07-05-2016,47.85,45.60,50.20,45.50,50.20
07-07-2016,50.20,52.70,52.70,48.00,49.00
07-08-2016,49.00,51.30,51.40,46.70,48.45
07-11-2016,48.45,46.10,50.85,46.10,50.85
07-12-2016,50.50,51.00,51.90,48.15,50.00
