Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,31.10,31.95,32.00,31.95,32.00
05-19-2016,32.00,31.05,31.05,31.05,31.05
05-19-2016,31.05,32.00,32.00,31.95,32.00
05-20-2016,32.00,32.00,32.00,31.75,31.75
05-23-2016,32.00,32.00,32.00,31.75,31.75
05-24-2016,31.75,31.90,31.90,31.90,31.90
05-25-2016,31.90,31.90,31.90,31.05,31.05
05-26-2016,31.05,30.05,32.00,30.05,31.80
05-27-2016,31.80,30.45,32.00,30.45,32.00
05-30-2016,32.00,30.75,32.00,30.75,32.00
05-31-2016,32.00,32.00,32.00,32.00,32.00
06-01-2016,32.00,32.00,32.00,32.00,32.00
06-02-2016,32.00,32.00,32.00,32.00,32.00
06-04-2016,32.00,32.00,32.00,32.00,32.00
06-06-2016,32.00,32.00,32.00,32.00,32.00
06-07-2016,32.00,30.40,32.00,30.40,31.75
06-08-2016,31.75,31.50,31.50,31.50,31.50
06-09-2016,31.50,30.20,31.50,30.20,31.50
06-10-2016,31.50,32.00,32.00,31.50,31.50
06-13-2016,31.50,30.00,31.50,30.00,31.50
06-14-2016,31.50,30.10,31.50,30.10,31.50
06-15-2016,31.50,31.50,31.50,31.50,31.50
06-16-2016,31.50,30.00,30.00,30.00,30.00
06-17-2016,31.50,30.00,30.00,30.00,30.00
06-19-2016,30.00,30.75,30.80,30.75,30.80
06-21-2016,30.80,30.80,30.80,30.80,30.80
06-22-2016,30.80,30.80,31.45,29.30,29.95
06-23-2016,29.95,28.50,28.50,28.50,28.50
06-24-2016,28.50,29.80,29.80,29.75,29.80
06-27-2016,29.80,31.00,31.00,31.00,31.00
06-28-2016,31.00,31.00,31.00,31.00,31.00
06-29-2016,31.00,30.10,30.10,29.50,30.10
06-30-2016,30.10,29.00,29.00,29.00,29.00
07-01-2016,29.00,28.00,29.00,28.00,29.00
07-05-2016,29.00,28.00,29.00,28.00,29.00
07-05-2016,29.00,30.45,30.45,30.45,30.45
07-07-2016,29.00,30.45,30.45,30.45,30.45
07-08-2016,29.00,30.45,30.45,30.45,30.45
07-11-2016,30.45,31.90,31.90,28.95,28.95
07-12-2016,28.95,27.55,27.55,27.55,27.55
