Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,14.44,14.70,14.99,13.99,14.39
05-19-2016,14.39,14.06,14.07,13.30,13.53
05-20-2016,13.53,13.65,13.75,12.51,12.68
05-21-2016,12.68,12.75,13.35,12.75,12.91
05-23-2016,12.91,12.60,13.39,12.50,12.53
05-24-2016,12.53,12.16,12.79,12.16,12.48
05-25-2016,12.48,12.30,13.09,12.30,12.82
05-26-2016,12.82,12.40,13.25,12.40,13.17
05-27-2016,13.17,13.00,13.15,12.61,13.00
05-30-2016,13.00,13.50,15.00,12.66,14.32
05-31-2016,14.32,15.55,16.25,14.33,15.19
06-01-2016,15.19,15.30,15.50,14.00,14.30
06-02-2016,14.30,14.90,14.90,13.00,13.60
06-04-2016,13.60,13.30,14.70,13.00,14.15
06-06-2016,14.15,14.50,15.50,13.60,15.00
06-07-2016,15.00,15.30,15.70,14.80,14.95
06-08-2016,14.95,15.90,16.75,15.20,16.35
06-09-2016,16.35,16.35,16.35,15.10,15.30
06-10-2016,15.30,15.25,15.75,14.85,15.05
06-13-2016,15.05,15.00,15.30,14.10,15.05
06-14-2016,15.05,15.30,15.35,14.75,15.00
06-15-2016,15.00,14.85,15.10,14.50,14.70
06-16-2016,14.70,14.50,15.25,14.00,14.20
06-17-2016,14.20,14.50,14.80,14.00,14.10
06-19-2016,14.10,13.60,14.85,13.35,14.60
06-21-2016,14.60,14.20,15.35,14.20,14.95
06-22-2016,14.95,14.80,15.15,14.50,14.55
06-23-2016,14.55,14.15,15.00,13.60,14.10
06-24-2016,14.10,13.10,14.35,12.70,13.50
06-27-2016,13.50,14.10,14.40,13.65,13.75
06-28-2016,13.75,13.75,14.70,13.75,14.60
06-29-2016,14.60,14.80,14.80,13.85,14.00
06-30-2016,14.00,14.30,14.30,13.80,13.85
07-01-2016,13.85,13.50,14.50,13.50,13.93
07-05-2016,13.93,14.00,16.45,14.00,16.20
07-05-2016,16.20,16.20,16.45,15.11,15.38
07-08-2016,15.38,15.10,15.90,14.80,14.92
07-08-2016,14.92,14.56,15.16,14.56,14.92
07-11-2016,14.92,15.00,15.15,14.60,14.68
07-12-2016,14.68,14.55,14.61,13.85,13.92
