Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3880.30,3885.30,3968.45,3885.30,3949.15
05-19-2016,3949.15,3910.00,3935.10,3808.00,3914.20
05-19-2016,3914.20,3900.00,3942.30,3880.00,3926.85
05-20-2016,3926.85,3890.00,3958.90,3885.00,3947.05
05-23-2016,3947.05,3950.00,3965.00,3900.00,3911.55
05-24-2016,3911.55,3930.00,3937.00,3891.40,3917.50
05-25-2016,3917.50,3942.15,4065.00,3941.10,4053.60
05-26-2016,4053.60,4055.00,4127.95,4030.00,4117.15
05-27-2016,4117.15,4118.00,4158.30,4093.00,4141.35
05-30-2016,4141.35,4141.00,4152.05,4055.10,4073.15
05-31-2016,4073.15,4073.00,4184.75,4058.35,4167.90
06-01-2016,4167.90,4175.00,4199.90,4151.00,4161.65
06-02-2016,4161.65,4156.50,4189.95,4127.25,4183.85
06-04-2016,4183.85,4200.00,4231.30,4179.05,4220.10
06-06-2016,4220.10,4214.00,4224.90,4121.00,4135.15
06-07-2016,4135.15,4160.00,4188.80,4122.80,4143.20
06-08-2016,4143.20,4150.00,4171.65,4124.15,4160.45
06-09-2016,4160.45,4142.15,4190.50,4138.00,4169.00
06-10-2016,4169.00,4161.00,4192.50,4101.00,4117.60
06-13-2016,4117.60,4093.90,4149.80,4065.00,4135.50
06-14-2016,4135.50,4130.25,4156.15,4093.05,4104.55
06-15-2016,4104.55,4120.00,4215.00,4112.20,4207.10
06-16-2016,4207.10,4161.00,4166.45,4063.45,4084.00
06-17-2016,4084.00,4124.00,4156.00,4093.70,4109.90
06-19-2016,4109.90,4078.00,4144.80,4065.70,4134.15
06-21-2016,4134.15,4142.30,4167.90,4111.00,4157.90
06-22-2016,4157.90,4144.95,4175.95,4126.40,4149.40
06-23-2016,4149.40,4149.40,4169.00,4121.80,4162.65
06-24-2016,4162.65,4071.00,4099.00,3868.10,4069.15
06-27-2016,4069.15,4069.15,4069.15,4008.00,4030.70
06-28-2016,4030.70,4052.90,4080.00,4043.25,4073.75
06-29-2016,4073.75,4099.00,4144.35,4091.15,4129.25
06-30-2016,4129.25,4171.00,4199.00,4145.50,4185.15
07-01-2016,4185.15,4194.35,4213.50,4130.00,4165.80
07-05-2016,4165.80,4166.00,4188.00,4157.15,4170.50
07-05-2016,4170.50,4174.00,4199.95,4151.55,4170.15
07-07-2016,4170.15,4198.00,4198.00,4126.40,4140.95
07-08-2016,4140.95,4140.00,4174.85,4130.00,4155.05
07-11-2016,4155.05,4190.00,4284.00,4190.00,4273.00
07-12-2016,4273.00,4273.00,4380.05,4273.00,4370.05
07-13-2016,4370.05,4359.90,4360.00,4302.80,4320.10
