Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,44.85,46.40,47.05,45.35,46.80
05-19-2016,46.80,48.30,48.80,46.70,48.35
05-20-2016,48.35,48.35,49.05,45.95,45.95
05-21-2016,45.95,43.70,43.70,43.70,43.70
05-23-2016,43.70,41.55,43.15,41.55,41.55
05-24-2016,41.55,39.55,41.10,39.50,39.50
05-25-2016,39.50,37.65,41.45,37.55,41.45
05-26-2016,41.45,43.00,43.50,41.50,42.95
05-27-2016,42.95,42.15,42.15,40.85,40.85
05-30-2016,40.85,39.85,42.00,38.85,39.95
05-31-2016,39.95,40.00,41.50,38.05,40.30
06-01-2016,40.30,41.00,42.30,40.95,42.30
06-02-2016,42.30,43.80,44.40,42.90,44.40
06-04-2016,44.40,45.20,48.80,45.20,48.80
06-06-2016,48.80,51.90,53.65,50.70,53.65
06-07-2016,53.65,58.00,59.00,53.65,58.70
06-08-2016,58.70,58.70,59.85,55.80,56.75
06-09-2016,56.75,57.00,57.10,55.00,55.80
06-10-2016,55.80,55.60,58.55,54.00,58.55
06-13-2016,58.55,59.00,61.45,58.00,61.45
06-14-2016,61.45,63.20,64.50,63.20,64.50
06-15-2016,64.50,67.60,67.70,66.00,67.70
06-16-2016,67.70,71.05,71.05,64.35,65.20
06-17-2016,65.20,64.25,64.25,61.95,61.95
06-19-2016,61.95,58.90,63.50,58.90,58.90
06-21-2016,58.90,56.55,60.00,56.00,56.05
06-22-2016,56.05,55.05,58.50,53.60,54.35
06-23-2016,54.35,54.00,55.45,51.65,52.60
06-24-2016,52.60,50.00,51.85,50.00,51.35
06-27-2016,51.35,52.15,53.90,51.90,53.90
06-28-2016,53.90,56.55,56.55,56.55,56.55
06-29-2016,56.55,58.00,59.35,55.55,59.35
06-30-2016,59.35,62.30,62.30,60.30,62.00
07-01-2016,62.00,58.00,67.80,58.00,64.90
07-05-2016,64.90,70.15,70.95,67.25,68.10
07-05-2016,68.10,68.50,68.50,63.00,63.80
07-08-2016,63.80,64.30,70.15,64.00,70.15
07-08-2016,70.15,71.40,71.40,65.75,66.20
07-11-2016,66.20,71.40,71.40,65.50,66.45
07-12-2016,66.45,67.95,68.20,63.75,64.50
